epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.688852,0.433922,0.351725,0.980222,0.00037800,93.1,96,98.6,100,76,83.0,94,59,61.0,65,218.9,221.02,223.4,2745.0,10801.0,30.0,0,8.6,16.86,21.2,28.89,28.92,28.96,63.16,0.0,0.02,0.05,0.02,0.08,0.25,10.914,14.232,82.35,9.85
2,0.446718,0.944422,0.302398,0.992333,0.00075600,48.6,97,99.0,100,77,85.4,96,63,64.4,68,223.0,225.12,226.8,2739.0,10801.0,31.8,0,15.0,20.44,26.7,28.94,28.99,29.05,63.16,0.0,0.01,0.03,1.71,5.14,15.4,10.917,14.232,38.28,9.35
3,0.375210,0.968200,0.303688,0.993444,0.00099999,48.5,96,98.8,100,74,88.4,100,65,66.4,68,224.4,226.04,228.2,2730.0,10801.0,34.4,0,14.1,20.6,26.9,28.97,29.02,29.1,63.16,0.0,0.01,0.01,1.78,3.88,6.39,10.917,14.234,38.08,9.53
4,0.356101,0.974526,0.296636,0.995444,0.00099988,48.5,96,98.0,100,78,90.0,100,67,67.4,68,225.8,226.78,227.7,2730.0,10801.0,35.4,0,14.6,20.68,27.8,28.97,29.02,29.1,63.16,0.01,0.05,0.09,1.54,3.37,5.43,10.916,14.234,38.18,9.43
5,0.343839,0.978588,0.298672,0.994111,0.00099965,48.6,96,99.2,100,82,93.0,100,67,68.0,69,226.3,227.22,228.3,2730.0,10801.0,36.2,0,13.6,20.8,27.8,28.98,29.03,29.11,63.16,0.01,0.01,0.01,1.73,3.99,7.78,10.915,14.234,38.29,9.32
6,0.337614,0.980779,0.297050,0.996000,0.00099929,48.7,97,98.8,100,78,92.8,100,68,68.4,69,218.1,225.46,228.0,2730.0,10801.0,37.0,0,14.1,20.4,27.1,28.98,29.03,29.11,63.16,0.0,0.0,0.01,1.51,3.3,5.35,10.914,14.234,38.35,9.29
7,0.332969,0.982582,0.294739,0.996222,0.00099880,48.6,96,99.2,100,74,85.4,98,66,68.0,70,218.7,225.48,228.8,2730.0,10801.0,37.0,0,13.7,20.5,27.5,28.97,29.01,29.08,63.16,0.0,0.01,0.02,1.51,3.31,5.35,10.913,14.234,38.57,9.08
8,0.328599,0.983876,0.293601,0.996333,0.00099818,48.6,96,98.2,100,78,88.8,100,68,68.2,69,225.7,226.86,228.0,2730.0,10801.0,37.6,0,13.7,20.04,26.7,28.97,29.02,29.1,63.16,0.0,0.03,0.11,1.55,3.91,6.44,10.915,14.234,38.19,9.43
9,0.325964,0.985001,0.294087,0.996222,0.00099744,48.5,96,98.6,100,75,88.8,100,68,68.4,69,226.0,227.46,228.7,2730.0,10801.0,37.8,0,14.1,20.54,27.5,28.97,29.02,29.09,63.16,0.0,0.01,0.01,1.73,3.8,7.12,10.915,14.234,38.25,9.37
10,0.323785,0.985536,0.293489,0.995444,0.00099658,48.5,96,98.4,100,75,84.0,93,68,70.0,72,226.2,228.54,230.3,2730.0,10801.0,38.0,0,14.6,20.14,27.2,28.97,29.02,29.07,63.16,0.0,0.02,0.05,1.52,3.44,6.5,10.915,14.234,38.53,9.08
11,0.323214,0.985861,0.290315,0.997111,0.00099558,48.5,96,98.8,100,79,88.2,100,68,70.0,72,226.0,228.38,229.3,2730.0,10801.0,38.0,0,14.1,20.5,27.3,28.95,29.02,29.1,63.16,0.02,0.06,0.23,1.78,3.99,6.39,10.915,14.234,37.91,9.69
12,0.320135,0.986809,0.291899,0.996778,0.00099447,48.6,71,92.8,100,66,82.2,94,67,69.8,72,222.8,226.84,229.2,2730.0,10801.0,38.0,0,14.0,20.6,27.7,29.0,29.04,29.09,63.16,0.01,0.18,0.64,1.77,4.14,6.44,10.914,14.234,38.2,9.44
13,0.318821,0.987410,0.292159,0.996778,0.00099322,48.6,93,96.6,100,58,82.4,96,67,68.6,71,222.7,226.44,229.6,2730.0,10801.0,38.0,0,14.0,20.26,28.1,29.0,29.05,29.12,63.16,0.01,0.05,0.13,1.61,3.48,6.55,10.915,14.234,38.08,9.57
14,0.317722,0.987808,0.289671,0.997889,0.00099185,48.5,96,99.2,100,73,83.0,100,68,69.8,71,227.4,228.8,230.1,2730.0,10801.0,38.0,0,14.3,20.36,27.4,29.01,29.05,29.11,63.16,0.0,0.0,0.01,1.5,3.3,5.4,10.915,14.234,38.19,9.4
15,0.315804,0.988355,0.290295,0.996667,0.00099036,48.6,96,98.8,100,76,86.0,97,68,70.2,72,219.3,227.42,231.2,2730.0,10801.0,38.0,0,13.8,20.58,27.9,29.02,29.07,29.15,63.16,0.0,0.01,0.01,1.72,3.86,6.33,10.916,14.234,38.31,9.37
16,0.314861,0.988633,0.289596,0.997667,0.00098874,48.6,96,98.4,100,73,86.8,100,68,69.8,72,226.7,228.7,229.8,2730.0,10801.0,38.0,0,13.9,20.0,27.3,28.94,29.01,29.09,63.16,0.0,0.01,0.02,1.32,3.27,5.35,10.915,14.234,38.31,9.33
17,0.313913,0.988972,0.289504,0.997778,0.00098700,48.7,96,99.2,100,72,91.2,100,69,69.6,70,226.4,227.96,229.2,2730.0,10801.0,38.2,0,13.9,20.22,27.8,28.96,29.0,29.07,63.16,0.0,0.01,0.02,1.73,3.7,6.35,10.915,14.234,38.23,9.44
18,0.312948,0.989468,0.289758,0.997778,0.00098514,48.6,96,98.2,100,77,88.0,100,67,69.8,72,226.7,228.54,230.2,2730.0,10801.0,38.4,0,14.9,20.2,26.4,28.96,29.01,29.09,63.16,0.01,0.03,0.06,1.75,4.0,7.71,10.914,14.234,38.18,9.53
19,0.312619,0.989530,0.289793,0.997556,0.00098315,48.4,96,98.8,100,73,88.8,100,68,69.2,70,227.4,228.66,230.6,2730.0,10801.0,38.8,0,15.5,20.7,27.9,28.84,28.97,29.05,63.16,0.0,0.01,0.01,1.51,3.32,5.42,10.915,14.234,38.19,9.32
20,0.311600,0.990099,0.288660,0.997556,0.00098104,48.6,96,97.8,100,72,84.2,94,68,69.2,72,227.7,229.16,230.4,2730.0,10801.0,38.4,0,16.0,20.64,27.3,28.85,28.89,28.95,63.16,0.0,0.01,0.01,1.31,3.25,5.29,10.916,14.234,38.11,9.51
21,0.310902,0.990135,0.287818,0.998222,0.00097881,48.6,97,99.4,100,71,87.8,100,68,69.4,72,227.3,228.58,230.2,2730.0,10801.0,38.4,0,13.8,19.88,27.0,28.86,28.9,28.96,63.16,0.0,0.01,0.01,1.73,3.71,6.44,10.916,14.234,38.07,9.56
22,0.309538,0.990636,0.287693,0.998333,0.00097646,48.5,96,97.6,100,79,87.6,98,68,69.6,72,218.9,226.28,230.4,2730.0,10801.0,38.4,0,14.9,20.6,27.9,28.85,28.9,28.97,63.16,0.0,0.01,0.01,1.73,3.99,7.87,10.915,14.234,38.03,9.55
23,0.309235,0.990814,0.288172,0.998333,0.00097398,48.5,96,97.6,100,79,88.8,92,68,70.2,72,226.5,228.38,230.8,2730.0,10801.0,38.8,0,13.9,20.2,27.5,28.88,28.93,29.0,63.16,0.0,0.03,0.1,1.73,3.97,6.74,10.915,14.234,38.12,9.49
24,0.308092,0.991199,0.287406,0.998111,0.00097139,48.6,96,98.4,100,74,79.6,92,68,69.0,70,218.8,226.72,230.3,2730.0,10801.0,38.8,0,14.1,20.36,27.5,28.86,28.9,28.96,63.16,0.0,0.01,0.02,1.5,3.26,5.37,10.915,14.234,38.09,9.52
25,0.308343,0.991069,0.288065,0.997778,0.00096868,48.6,98,99.2,100,70,84.8,100,68,69.2,70,227.9,228.72,229.3,2730.0,10801.0,38.6,0,14.1,20.1,26.7,28.85,28.9,28.97,63.16,0.0,0.01,0.01,1.73,3.99,7.84,10.915,14.234,38.27,9.37
26,0.307443,0.991365,0.287214,0.998333,0.00096584,48.5,96,98.0,100,75,79.6,89,69,70.0,73,226.9,228.7,230.4,2730.0,10801.0,38.6,0,13.8,20.56,27.1,28.84,28.89,28.96,63.16,0.0,0.01,0.02,1.68,3.35,5.41,10.916,14.234,38.14,9.46
27,0.306361,0.991834,0.287269,0.998333,0.00096289,48.7,96,98.8,100,77,86.2,98,68,69.0,70,227.1,228.66,230.7,2730.0,10801.0,38.8,0,13.9,20.4,27.0,28.87,28.9,28.97,63.16,0.0,0.03,0.12,2.33,4.02,6.44,10.915,14.234,38.45,9.2
28,0.305688,0.992092,0.287856,0.997556,0.00095983,48.5,96,97.8,100,75,85.0,100,68,69.4,71,227.5,228.56,229.8,2730.0,10801.0,39.0,0,13.8,20.6,27.5,28.83,28.9,28.95,63.16,0.0,0.03,0.09,1.42,3.33,5.57,10.915,14.234,38.3,9.27
29,0.305646,0.992039,0.286642,0.998333,0.00095664,48.7,96,98.8,100,77,89.2,98,67,69.2,71,227.5,228.62,231.1,2730.0,10801.0,38.8,0,14.2,20.3,26.9,28.86,28.9,28.96,63.16,0.0,0.01,0.01,1.53,3.35,6.34,10.915,14.234,38.43,9.34
