epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,0.851191,0.802934,0.315419,0.993667,0.00100000,325.3,98,98.0,98,83,83.8,87,67,69.8,73,237.7,240.36,243.4,2733.0,10801.0,38.4,0,7.7,8.42,8.7,29.59,29.84,29.91,63.16,0.0,1.1,5.38,0.03,0.15,0.34,10.942,14.314,42.77,214.25
2,0.420649,0.958889,0.299983,0.996111,0.00100000,1101.2,100,100.0,100,2,8.6,25,51,51.6,52,108.1,116.12,123.4,2754.0,10801.0,30.0,0,6.3,6.62,7.7,30.18,30.38,30.52,63.16,0.0,0.02,0.05,0.03,0.5,2.04,10.942,17.311,0.78,1032.26
3,0.382184,0.970734,0.295790,0.996556,0.00100000,1101.4,92,98.4,100,1,5.2,7,51,51.0,51,101.2,111.54,116.9,2757.0,10801.0,30.0,0,6.2,6.44,7.1,30.16,30.19,30.22,63.16,0.0,0.02,0.05,0.07,0.32,1.21,10.942,17.311,0.78,1032.65
4,0.366449,0.975922,0.293020,0.997000,0.00100000,1101.5,100,100.0,100,0,7.2,21,51,51.8,53,113.3,117.46,121.4,2751.0,10801.0,30.0,0,6.2,6.48,7.0,30.19,30.2,30.21,63.16,0.0,0.01,0.03,0.03,0.34,1.3,10.942,17.311,0.83,1032.77
5,0.356492,0.978675,0.291203,0.998222,0.00100000,1101.2,87,97.4,100,1,5.4,8,50,51.0,53,100.7,110.06,114.3,2760.0,10801.0,30.0,0,6.3,6.46,7.0,30.1,30.13,30.17,63.16,0.0,0.02,0.11,0.07,0.33,1.27,10.942,17.311,0.84,1032.33
