epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb,nvsmi_vram_total_gb,data_wait_s,compute_s
37,summary,0.323218,0.993546,0.310708,0.991766,0.01906729,0.6,,,,,,,,,,,,,9,27.0,45,1,6.5,12,48,52.0,56,112.7,116.45,120.2,2760.0,10801.0,30.0,0,14.5,40.9,67.3,25.86,25.87,25.88,63.16,0.0,0.14,0.28,0.0,0.0,0.0,0.297,0.43,1.563,15.992,0.2,0.28
38,1,,,,,,,14,3,49,133.7,2760,10801,30,0,62.5,25.87,0.0,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,,,,,,,14,3,49,133.7,2760,10801,30,0,9.4,25.86,0.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,summary,0.321691,0.995160,0.312441,0.991766,0.01896376,0.5,,,,,,,,,,,,,14,14.0,14,3,3.0,3,49,49.0,49,133.7,133.7,133.7,2760.0,10801.0,30.0,0,9.4,35.95,62.5,25.86,25.87,25.87,63.16,0.0,0.0,0.0,3.88,9.14,14.4,0.297,0.43,1.562,15.992,0.22,0.24
39,1,,,,,,,62,17,52,133.8,2745,10801,30,0,65.2,25.88,2.48,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,,,,,,,75,20,59,123.4,2745,10801,30,0,17.8,25.89,3.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,summary,0.323246,0.994514,0.304424,0.994511,0.01885510,0.6,,,,,,,,,,,,,62,68.5,75,17,18.5,20,52,55.5,59,123.4,128.6,133.8,2745.0,10801.0,30.0,0,17.8,41.5,65.2,25.88,25.88,25.89,63.16,2.48,2.79,3.1,0.0,0.29,0.59,0.297,0.43,1.562,15.992,0.2,0.28
40,1,,,,,,,75,20,59,123.4,2745,10801,30,0,61.6,25.9,0.09,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,,,,,,,8,1,49,113.0,2760,10801,30,0,13.8,25.89,0.0,12.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,summary,0.323516,0.994998,0.314660,0.993596,0.01874136,0.6,,,,,,,,,,,,,8,41.5,75,1,10.5,20,49,54.0,59,113.0,118.2,123.4,2752.5,10801.0,30.0,0,13.8,37.7,61.6,25.89,25.89,25.9,63.16,0.0,0.04,0.09,1.66,7.15,12.63,0.297,0.43,1.562,15.992,0.21,0.29
41,1,,,,,,,13,3,49,130.7,2760,10801,30,0,62.7,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,,,,,,,13,3,49,130.7,2760,10801,30,0,9.4,25.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,summary,0.322856,0.993869,0.312769,0.994511,0.01862261,0.5,,,,,,,,,,,,,13,13.0,13,3,3.0,3,49,49.0,49,130.7,130.7,130.7,2760.0,10801.0,30.0,0,9.4,36.05,62.7,25.89,25.89,25.9,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.562,15.992,0.2,0.24
42,1,,,,,,,40,12,51,133.1,2760,10801,30,0,66.1,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,,,,,,,39,11,60,138.6,2745,10801,30,0,11.0,25.86,0.12,15.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,summary,0.319884,0.994998,0.305534,0.993596,0.01849893,0.6,,,,,,,,,,,,,39,39.5,40,11,11.5,12,51,55.5,60,133.1,135.85,138.6,2752.5,10801.0,30.0,0,11.0,38.55,66.1,25.86,25.87,25.88,63.16,0.0,0.06,0.12,0.0,7.72,15.44,0.297,0.43,1.574,15.992,0.19,0.25
43,1,,,,,,,39,11,60,138.6,2745,10801,30,0,55.9,25.86,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,,,,,,,12,4,54,109.2,2760,10801,30,0,9.5,25.87,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,summary,0.319799,0.994192,0.307966,0.993596,0.01837037,0.5,,,,,,,,,,,,,12,25.5,39,4,7.5,11,54,57.0,60,109.2,123.9,138.6,2752.5,10801.0,30.0,0,9.5,32.7,55.9,25.86,25.87,25.87,63.16,0.0,0.0,0.0,0.01,0.24,0.46,0.297,0.43,1.574,15.992,0.19,0.25
44,1,,,,,,,2,1,48,121.8,2760,10801,30,0,57.0,25.86,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,,,,,,,2,1,48,121.8,2760,10801,30,0,9.6,25.86,0.0,14.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,summary,0.323319,0.994030,0.301159,0.995425,0.01823702,0.5,,,,,,,,,,,,,2,2.0,2,1,1.0,1,48,48.0,48,121.8,121.8,121.8,2760.0,10801.0,30.0,0,9.6,33.3,57.0,25.86,25.86,25.86,63.16,0.0,0.0,0.0,0.52,7.72,14.93,0.297,0.43,1.574,15.992,0.21,0.24
45,1,,,,,,,8,3,49,136.7,2760,10801,30,0,59.9,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,,,,,,,8,3,49,136.7,2760,10801,30,0,7.6,25.88,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,summary,0.323342,0.992740,0.307542,0.993596,0.01809896,0.6,,,,,,,,,,,,,8,8.0,8,3,3.0,3,49,49.0,49,136.7,136.7,136.7,2760.0,10801.0,30.0,0,7.6,33.75,59.9,25.88,25.88,25.88,63.16,0.0,0.01,0.01,0.0,0.0,0.0,0.297,0.43,1.574,15.992,0.19,0.26
46,1,,,,,,,74,21,53,132.3,2745,10801,30,0,57.7,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,,,,,,,67,20,59,125.7,2745,10801,30,0,9.2,25.87,0.03,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,summary,0.315504,0.995160,0.306512,0.993596,0.01795625,0.6,,,,,,,,,,,,,67,70.5,74,20,20.5,21,53,56.0,59,125.7,129.0,132.3,2745.0,10801.0,30.0,0,9.2,33.45,57.7,25.87,25.88,25.88,63.16,0.0,0.01,0.03,0.0,0.21,0.43,0.297,0.43,1.574,15.992,0.21,0.25
47,1,,,,,,,67,20,59,125.7,2745,10801,30,0,60.1,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,,,,,,,12,4,51,110.6,2760,10801,30,0,10.1,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,summary,0.316054,0.994837,0.299391,0.996340,0.01780898,0.5,,,,,,,,,,,,,12,39.5,67,4,12.0,20,51,55.0,59,110.6,118.15,125.7,2752.5,10801.0,30.0,0,10.1,35.1,60.1,25.86,25.86,25.86,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.574,15.992,0.2,0.26
48,1,,,,,,,4,1,49,119.5,2760,10801,30,0,61.5,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,,,,,,,4,1,49,119.5,2760,10801,30,0,13.5,25.87,0.1,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,summary,0.315185,0.994837,0.305268,0.993596,0.01765724,0.6,,,,,,,,,,,,,4,4.0,4,1,1.0,1,49,49.0,49,119.5,119.5,119.5,2760.0,10801.0,30.0,0,13.5,37.5,61.5,25.86,25.87,25.87,63.16,0.0,0.05,0.1,0.0,0.29,0.59,0.297,0.43,1.574,15.992,0.18,0.3
49,1,,,,,,,34,9,51,133.6,2745,10801,30,0,60.8,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,,,,,,,76,21,56,134.0,2745,10801,30,0,16.6,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,summary,0.317634,0.995805,0.304993,0.994511,0.01750111,0.6,,,,,,,,,,,,,34,55.0,76,9,15.0,21,51,53.5,56,133.6,133.8,134.0,2745.0,10801.0,30.0,0,16.6,38.7,60.8,25.86,25.86,25.86,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.574,15.992,0.19,0.29
50,1,,,,,,,76,21,56,134.0,2745,10801,30,0,57.3,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,,,,,,,12,4,51,111.7,2760,10801,30,0,14.7,25.87,0.11,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,summary,0.320998,0.994514,0.305232,0.994511,0.01734069,0.5,,,,,,,,,,,,,12,44.0,76,4,12.5,21,51,53.5,56,111.7,122.85,134.0,2752.5,10801.0,30.0,0,14.7,36.0,57.3,25.86,25.87,25.87,63.16,0.0,0.06,0.11,0.0,0.32,0.64,0.297,0.43,1.575,15.992,0.21,0.26
51,1,,,,,,,2,1,49,113.7,2760,10801,30,0,62.7,25.87,0.0,25.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,,,,,,,2,1,49,113.7,2760,10801,30,0,18.5,25.88,0.16,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,summary,0.315879,0.995805,0.304271,0.992681,0.01717606,0.6,,,,,,,,,,,,,2,2.0,2,1,1.0,1,49,49.0,49,113.7,113.7,113.7,2760.0,10801.0,30.0,0,18.5,40.6,62.7,25.87,25.88,25.88,63.16,0.0,0.08,0.16,0.45,12.83,25.22,0.297,0.43,1.697,15.992,0.19,0.27
52,1,,,,,,,15,3,50,132.9,2760,10801,30,0,67.2,25.88,0.17,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,,,,,,,15,3,50,132.9,2760,10801,30,0,14.3,25.88,0.27,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,summary,0.315938,0.996128,0.303466,0.997255,0.01700732,0.6,,,,,,,,,,,,,15,15.0,15,3,3.0,3,50,50.0,50,132.9,132.9,132.9,2760.0,10801.0,30.0,0,14.3,40.75,67.2,25.88,25.88,25.88,63.16,0.17,0.22,0.27,0.56,0.58,0.6,0.297,0.43,1.629,15.992,0.22,0.26
53,1,,,,,,,75,21,56,135.5,2745,10801,30,0,70.2,25.87,0.27,24.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,,,,,,,47,14,56,110.2,2760,10801,30,0,11.1,25.87,0.21,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,summary,0.315916,0.995160,0.307165,0.992681,0.01683456,0.6,,,,,,,,,,,,,47,61.0,75,14,17.5,21,56,56.0,56,110.2,122.85,135.5,2752.5,10801.0,30.0,0,11.1,40.65,70.2,25.87,25.87,25.87,63.16,0.21,0.24,0.27,0.53,12.59,24.64,0.297,0.43,1.691,15.992,0.19,0.28
54,1,,,,,,,11,3,49,112.7,2760,10801,30,0,66.7,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2,,,,,,,11,3,49,112.7,2760,10801,30,0,16.3,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,summary,0.317270,0.994998,0.307644,0.996340,0.01665789,0.6,,,,,,,,,,,,,11,11.0,11,3,3.0,3,49,49.0,49,112.7,112.7,112.7,2760.0,10801.0,30.0,0,16.3,41.5,66.7,25.88,25.88,25.88,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.565,15.992,0.22,0.32
55,1,,,,,,,31,8,51,132.0,2760,10801,30,0,60.3,25.87,0.0,23.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2,,,,,,,70,21,60,135.4,2745,10801,30,0,11.6,25.88,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,summary,0.315949,0.994837,0.306814,0.994511,0.01647740,0.6,,,,,,,,,,,,,31,50.5,70,8,14.5,21,51,55.5,60,132.0,133.7,135.4,2752.5,10801.0,30.0,0,11.6,35.95,60.3,25.87,25.88,25.88,63.16,0.0,0.0,0.0,0.13,11.67,23.21,0.297,0.43,1.595,15.992,0.21,0.26
56,1,,,,,,,70,21,60,135.4,2745,10801,30,0,62.9,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,,,,,,,33,10,57,118.3,2760,10801,30,0,13.0,25.88,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,summary,0.318163,0.994514,0.306899,0.994511,0.01629321,0.6,,,,,,,,,,,,,33,51.5,70,10,15.5,21,57,58.5,60,118.3,126.85,135.4,2752.5,10801.0,30.0,0,13.0,37.95,62.9,25.88,25.88,25.88,63.16,0.0,0.03,0.06,0.0,0.01,0.01,0.297,0.43,1.587,15.992,0.22,0.25
57,1,,,,,,,33,10,57,118.3,2760,10801,30,0,61.0,25.88,0.0,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2,,,,,,,1,1,50,112.3,2760,10801,30,0,11.7,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,summary,0.316667,0.994514,0.299870,0.995425,0.01610541,0.6,,,,,,,,,,,,,1,17.0,33,1,5.5,10,50,53.5,57,112.3,115.3,118.3,2760.0,10801.0,30.0,0,11.7,36.35,61.0,25.88,25.88,25.88,63.16,0.0,0.0,0.0,0.0,8.76,17.52,0.297,0.43,1.587,15.992,0.21,0.26
58,1,,,,,,,9,3,49,129.3,2760,10801,30,0,64.0,25.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2,,,,,,,9,3,49,129.3,2760,10801,30,0,11.0,25.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,summary,0.314711,0.995321,0.301352,0.995425,0.01591411,0.5,,,,,,,,,,,,,9,9.0,9,3,3.0,3,49,49.0,49,129.3,129.3,129.3,2760.0,10801.0,30.0,0,11.0,37.5,64.0,25.87,25.87,25.87,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.585,15.992,0.19,0.25
59,1,,,,,,,9,3,52,133.6,2760,10801,30,0,61.1,25.87,0.09,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,,,,,,,9,3,52,133.6,2760,10801,30,0,11.1,25.87,0.0,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,summary,0.312144,0.995966,0.304318,0.994511,0.01571942,0.5,,,,,,,,,,,,,9,9.0,9,3,3.0,3,52,52.0,52,133.6,133.6,133.6,2760.0,10801.0,30.0,0,11.1,36.1,61.1,25.87,25.87,25.87,63.16,0.0,0.04,0.09,1.05,6.15,11.25,0.297,0.43,1.583,15.992,0.21,0.24
60,1,,,,,,,53,15,60,132.7,2745,10801,30,0,61.7,25.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,,,,,,,76,22,59,121.1,2745,10801,30,0,18.8,25.88,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,summary,0.312481,0.995805,0.301266,0.996340,0.01552145,0.6,,,,,,,,,,,,,53,64.5,76,15,18.5,22,59,59.5,60,121.1,126.9,132.7,2745.0,10801.0,30.0,0,18.8,40.25,61.7,25.87,25.88,25.88,63.16,0.0,0.01,0.03,0.0,0.0,0.0,0.297,0.43,1.586,15.992,0.21,0.26
61,1,,,,,,,76,22,59,121.1,2745,10801,30,0,63.7,25.87,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,,,,,,,19,6,51,112.8,2760,10801,30,0,12.4,25.86,0.0,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,summary,0.311299,0.995644,0.304647,0.995425,0.01532033,0.5,,,,,,,,,,,,,19,47.5,76,6,14.0,22,51,55.0,59,112.8,116.95,121.1,2752.5,10801.0,30.0,0,12.4,38.05,63.7,25.86,25.87,25.87,63.16,0.0,0.0,0.0,0.37,5.73,11.09,0.297,0.43,1.585,15.992,0.2,0.25
62,1,,,,,,,0,1,49,125.9,2760,10801,30,0,60.5,25.85,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,,,,,,,0,1,49,125.9,2760,10801,30,0,12.8,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,summary,0.307352,0.997419,0.309343,0.989936,0.01511615,0.6,,,,,,,,,,,,,0,0.0,0,1,1.0,1,49,49.0,49,125.9,125.9,125.9,2760.0,10801.0,30.0,0,12.8,36.65,60.5,25.85,25.86,25.86,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.578,15.992,0.2,0.25
