epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb,nvsmi_vram_total_gb,data_wait_s,compute_s
8,summary,0.357468,0.986125,0.329931,0.990851,0.00853333,0.5,,,,,,,,,,,,,2,29.0,56,2,9.5,17,48,52.0,56,109.5,110.5,111.5,2760.0,10801.0,30.0,0,7.5,34.9,62.3,25.84,25.84,25.85,63.16,0.0,0.0,0.0,0.0,7.66,15.31,0.297,0.43,1.417,15.992,0.19,0.24
9,1,,,,,,,4,2,47,130.0,2760,10801,30,0,56.4,25.84,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,,,,,,,4,2,47,130.0,2760,10801,30,0,11.4,25.85,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,summary,0.341693,0.988867,0.336803,0.986276,0.00960000,0.5,,,,,,,,,,,,,4,4.0,4,2,2.0,2,47,47.0,47,130.0,130.0,130.0,2760.0,10801.0,30.0,0,11.4,33.9,56.4,25.84,25.84,25.85,63.16,0.0,0.01,0.03,0.0,0.0,0.0,0.297,0.43,1.417,15.992,0.2,0.25
10,1,,,,,,,28,9,50,130.7,2745,10801,30,0,56.7,25.85,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,,,,,,,28,9,50,130.7,2745,10801,30,0,8.9,25.85,0.06,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,summary,0.345612,0.985963,0.317499,0.991766,0.01060000,0.5,,,,,,,,,,,,,28,28.0,28,9,9.0,9,50,50.0,50,130.7,130.7,130.7,2745.0,10801.0,30.0,0,8.9,32.8,56.7,25.85,25.85,25.85,63.16,0.0,0.03,0.06,0.23,7.67,15.11,0.297,0.43,1.417,15.992,0.21,0.23
11,1,,,,,,,77,23,59,123.1,2745,10801,30,0,59.3,25.85,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,,,,,,,47,15,55,108.7,2760,10801,30,0,12.0,25.84,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,summary,0.332934,0.989029,0.332297,0.989021,0.01166667,0.5,,,,,,,,,,,,,47,62.0,77,15,19.0,23,55,57.0,59,108.7,115.9,123.1,2752.5,10801.0,30.0,0,12.0,35.65,59.3,25.84,25.84,25.85,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.417,15.992,0.19,0.25
12,1,,,,,,,47,15,55,108.7,2760,10801,30,0,61.1,25.85,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,,,,,,,0,1,49,117.8,2760,10801,30,0,8.6,25.85,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,summary,0.330455,0.988383,0.310293,0.993596,0.01273333,0.5,,,,,,,,,,,,,0,23.5,47,1,8.0,15,49,52.0,55,108.7,113.25,117.8,2760.0,10801.0,30.0,0,8.6,34.85,61.1,25.85,25.85,25.85,63.16,0.0,0.0,0.0,0.0,0.01,0.01,0.297,0.43,1.417,15.992,0.19,0.25
13,1,,,,,,,4,2,48,132.2,2760,10801,30,0,56.9,25.87,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,,,,,,,4,2,48,132.2,2760,10801,30,0,13.0,25.89,0.21,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,summary,0.334532,0.989351,0.313579,0.993596,0.01380000,0.5,,,,,,,,,,,,,4,4.0,4,2,2.0,2,48,48.0,48,132.2,132.2,132.2,2760.0,10801.0,30.0,0,13.0,34.95,56.9,25.87,25.88,25.89,63.16,0.0,0.1,0.21,0.03,0.13,0.23,0.297,0.43,1.417,15.992,0.19,0.25
14,1,,,,,,,25,8,50,131.2,2745,10801,30,0,66.9,25.88,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,,,,,,,41,13,57,131.4,2745,10801,30,0,16.5,25.88,0.0,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,summary,0.336695,0.986609,0.324371,0.989936,0.01486667,0.6,,,,,,,,,,,,,25,33.0,41,8,10.5,13,50,53.5,57,131.2,131.3,131.4,2745.0,10801.0,30.0,0,16.5,41.7,66.9,25.88,25.88,25.88,63.16,0.0,0.0,0.0,0.0,1.13,2.26,0.297,0.43,1.417,15.992,0.19,0.25
15,1,,,,,,,41,13,57,131.4,2745,10801,30,0,60.3,25.87,0.0,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,,,,,,,27,8,57,107.2,2760,10801,30,0,6.3,25.88,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,summary,0.339665,0.986447,0.315551,0.989936,0.01593333,0.5,,,,,,,,,,,,,27,34.0,41,8,10.5,13,57,57.0,57,107.2,119.3,131.4,2752.5,10801.0,30.0,0,6.3,33.3,60.3,25.87,25.88,25.88,63.16,0.0,0.0,0.0,0.66,11.71,22.77,0.297,0.43,1.417,15.992,0.21,0.24
16,1,,,,,,,0,1,47,119.4,2760,10801,30,0,58.5,25.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,,,,,,,0,1,47,119.4,2760,10801,30,0,10.2,25.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,summary,0.340352,0.987415,0.312500,0.994511,0.01700000,0.5,,,,,,,,,,,,,0,0.0,0,1,1.0,1,47,47.0,47,119.4,119.4,119.4,2760.0,10801.0,30.0,0,10.2,34.35,58.5,25.87,25.87,25.87,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.417,15.992,0.21,0.24
17,1,,,,,,,7,2,48,131.6,2760,10801,30,0,63.7,25.89,0.0,23.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,,,,,,,7,2,48,131.6,2760,10801,30,0,16.7,25.88,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,summary,0.336495,0.988867,0.307483,0.994511,0.01806667,0.6,,,,,,,,,,,,,7,7.0,7,2,2.0,2,48,48.0,48,131.6,131.6,131.6,2760.0,10801.0,30.0,0,16.7,40.2,63.7,25.88,25.88,25.89,63.16,0.0,0.03,0.05,0.0,11.54,23.07,0.297,0.43,1.44,15.992,0.21,0.29
18,1,,,,,,,70,19,51,131.8,2745,10801,30,0,59.5,25.89,0.0,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,78,23,59,116.6,2745,10801,30,0,9.5,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,summary,0.341522,0.987093,0.334563,0.987191,0.01913333,0.5,,,,,,,,,,,,,70,74.0,78,19,21.0,23,51,55.0,59,116.6,124.2,131.8,2745.0,10801.0,30.0,0,9.5,34.5,59.5,25.89,25.89,25.89,63.16,0.0,0.0,0.0,0.0,0.82,1.64,0.297,0.43,1.44,15.992,0.19,0.25
19,1,,,,,,,78,23,59,116.6,2745,10801,30,0,64.3,25.89,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,,,,,,,18,5,53,112.0,2760,10801,30,0,9.7,25.88,0.0,14.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,summary,0.343683,0.987254,0.322961,0.990851,0.01999990,0.5,,,,,,,,,,,,,18,48.0,78,5,14.0,23,53,56.0,59,112.0,114.3,116.6,2752.5,10801.0,30.0,0,9.7,37.0,64.3,25.88,25.88,25.89,63.16,0.0,0.0,0.0,0.23,7.31,14.38,0.297,0.43,1.441,15.992,0.22,0.24
20,1,,,,,,,6,2,48,128.8,2760,10801,30,0,65.2,25.89,0.7,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,6,2,48,128.8,2760,10801,30,0,12.2,25.89,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,summary,0.340671,0.987415,0.313656,0.993596,0.01999596,0.6,,,,,,,,,,,,,6,6.0,6,2,2.0,2,48,48.0,48,128.8,128.8,128.8,2760.0,10801.0,30.0,0,12.2,38.7,65.2,25.89,25.89,25.89,63.16,0.3,0.5,0.7,0.0,0.01,0.02,0.297,0.43,1.443,15.992,0.2,0.29
21,1,,,,,,,14,4,49,136.0,2760,10801,30,0,62.1,25.9,0.07,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,,,,,,,14,4,49,136.0,2760,10801,30,0,16.5,25.91,0.0,14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,summary,0.337566,0.988706,0.330909,0.990851,0.01998630,0.6,,,,,,,,,,,,,14,14.0,14,4,4.0,4,49,49.0,49,136.0,136.0,136.0,2760.0,10801.0,30.0,0,16.5,39.3,62.1,25.9,25.91,25.91,63.16,0.0,0.04,0.07,0.72,7.42,14.11,0.297,0.43,1.439,15.992,0.21,0.26
22,1,,,,,,,14,4,53,140.8,2745,10801,30,0,65.8,25.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,,,,,,,47,14,57,110.4,2760,10801,30,0,10.2,25.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,summary,0.339203,0.989351,0.321891,0.991766,0.01997091,0.6,,,,,,,,,,,,,14,30.5,47,4,9.0,14,53,55.0,57,110.4,125.6,140.8,2752.5,10801.0,30.0,0,10.2,38.0,65.8,25.9,25.9,25.9,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.438,15.992,0.2,0.26
23,1,,,,,,,47,14,57,110.4,2760,10801,30,0,63.7,25.9,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,,,,,,,3,2,50,117.3,2760,10801,30,0,14.9,25.9,0.0,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,summary,0.333768,0.989190,0.327352,0.985361,0.01994981,0.6,,,,,,,,,,,,,3,25.0,47,2,8.0,14,50,53.5,57,110.4,113.85,117.3,2760.0,10801.0,30.0,0,14.9,39.3,63.7,25.9,25.9,25.9,63.16,0.0,0.0,0.0,0.6,7.35,14.1,0.297,0.43,1.435,15.992,0.21,0.3
24,1,,,,,,,9,3,49,134.1,2760,10801,30,0,62.6,25.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,,,,,,,9,3,49,134.1,2760,10801,30,0,14.3,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,summary,0.337730,0.987738,0.312191,0.992681,0.01992301,0.6,,,,,,,,,,,,,9,9.0,9,3,3.0,3,49,49.0,49,134.1,134.1,134.1,2760.0,10801.0,30.0,0,14.3,38.45,62.6,25.89,25.89,25.9,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.43,1.435,15.992,0.21,0.26
25,1,,,,,,,69,20,51,135.4,2745,10801,30,0,60.9,25.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,,,,,,,81,23,58,116.8,2745,10801,30,0,11.7,25.85,0.0,13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
