epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
19,0.372296,0.911800,0.767467,0.730590,0.00382369,3.5,0,73.6,92,3,27.0,33,43,43.8,44,36.2,36.46,37.5,2181.0,9641.0,0.0,0,4.8,15.7,55.6,24.07,24.08,24.08,63.16,0.0,0.0,0.0,0.0,0.15,0.77,1.689,2.59,2.26,0.39
20,0.370681,0.911812,0.432227,0.875043,0.00379515,3.5,56,89.6,98,32,35.2,36,44,44.4,46,36.5,40.36,55.8,948.0,6161.0,0.0,0,4.3,15.24,54.2,24.09,24.1,24.11,63.16,0.0,0.0,0.01,0.0,0.87,3.91,1.689,2.59,2.22,0.52
21,0.355684,0.920578,0.848161,0.668563,0.00376461,3.5,22,27.0,47,9,12.8,28,44,44.6,47,33.5,38.3,57.5,888.0,6161.0,0.0,0,2.9,17.44,51.6,24.0,24.03,24.08,63.16,0.0,0.0,0.02,0.0,0.1,0.51,1.689,2.59,2.28,0.44
22,0.362918,0.917518,0.484530,0.846597,0.00373208,3.6,0,22.4,56,2,13.6,31,43,45.0,48,30.4,37.44,48.0,1401.0,7321.0,0.0,0,4.0,14.12,52.5,23.97,23.98,23.98,63.16,0.0,0.0,0.0,0.0,0.08,0.39,1.689,2.59,2.39,0.4
23,0.351724,0.922035,0.341932,0.921529,0.00369760,3.4,25,29.2,46,11,14.6,29,45,45.6,48,31.8,36.68,56.2,960.0,6161.0,0.0,0,3.2,13.78,53.3,23.97,23.98,23.98,63.16,0.0,0.0,0.0,0.0,0.46,1.92,1.689,2.59,2.22,0.38
24,0.348795,0.924178,0.760683,0.726774,0.00366123,3.5,69,69.0,69,23,23.0,23,45,45.0,45,32.7,32.7,32.7,420.0,5001.0,0.0,0,2.5,18.74,53.5,23.94,23.95,23.96,63.16,0.0,0.0,0.0,0.0,0.11,0.56,1.689,2.59,2.26,0.39
25,0.355376,0.919305,0.536068,0.821619,0.00362298,3.5,95,95.0,95,29,29.0,29,46,46.0,46,32.8,32.8,32.8,675.0,5001.0,0.0,0,4.7,15.12,52.9,23.94,23.95,23.96,63.16,0.0,0.0,0.0,0.0,0.27,1.02,1.689,2.59,2.22,0.46
26,0.348838,0.924362,0.442336,0.871852,0.00358292,3.4,98,98.0,98,34,34.0,34,45,45.0,45,33.4,33.4,33.4,450.0,5001.0,0.0,0,3.6,16.66,52.1,23.95,23.95,23.96,63.16,0.0,0.0,0.0,0.0,0.13,0.4,1.689,2.59,2.26,0.39
27,0.340506,0.928157,0.412704,0.885173,0.00354107,3.5,98,98.0,98,32,32.0,32,45,45.0,45,33.5,33.5,33.5,570.0,5001.0,0.0,0,4.6,15.16,53.1,23.95,23.95,23.95,63.16,0.0,0.02,0.1,0.0,0.13,0.35,1.689,2.59,2.28,0.45
28,0.336393,0.930875,0.335867,0.933255,0.00349750,3.5,98,98.0,98,36,36.0,36,45,45.0,45,33.9,33.9,33.9,480.0,5001.0,0.0,0,6.1,17.74,53.1,23.95,23.95,23.96,63.16,0.0,0.0,0.0,0.0,0.15,0.77,1.689,2.59,2.27,0.39
29,0.335666,0.931365,0.336072,0.921252,0.00345224,3.5,93,93.0,93,31,31.0,31,46,46.0,46,34.7,34.7,34.7,495.0,5001.0,0.0,0,3.8,14.0,52.1,23.95,23.95,23.95,63.16,0.0,0.0,0.01,0.0,0.1,0.51,1.689,2.59,2.29,0.44
30,0.337671,0.930434,0.328126,0.930965,0.00340536,3.5,3,79.0,98,2,31.6,39,45,45.0,45,36.0,36.74,39.7,522.0,5001.0,0.0,0,3.6,16.38,54.6,23.95,23.96,23.97,63.16,0.0,0.0,0.0,0.0,0.14,0.72,1.689,2.59,2.2,0.41
31,0.335352,0.930997,0.320256,0.934087,0.00335690,3.5,64,64.0,64,25,25.0,25,46,46.0,46,32.7,32.7,32.7,540.0,5001.0,0.0,0,6.4,20.08,52.5,23.97,23.98,24.0,63.16,0.0,0.0,0.0,0.0,0.16,0.81,1.689,2.59,2.28,0.42
32,0.326936,0.935185,0.351844,0.921737,0.00330691,3.4,1,65.8,82,3,25.4,31,45,45.8,46,35.6,36.48,40.0,2169.0,9641.0,0.0,0,3.4,15.94,54.3,23.99,23.99,24.0,63.16,0.0,0.0,0.0,0.0,0.34,1.15,1.689,2.59,2.22,0.33
33,0.323400,0.937290,0.290678,0.948172,0.00325546,3.3,1,33.4,55,1,18.4,30,46,49.0,51,53.0,57.44,60.4,2682.0,10801.0,0.0,0,5.4,17.74,58.3,23.99,24.0,24.0,63.16,0.0,0.0,0.0,0.0,0.09,0.44,1.689,2.59,2.26,0.27
34,0.320720,0.938711,0.305640,0.941581,0.00320594,3.5,3,33.6,54,3,19.2,30,45,47.4,49,36.5,40.88,43.8,1743.0,8481.0,0.0,0,7.9,18.16,55.1,23.98,23.98,23.99,63.16,0.0,0.0,0.0,0.0,0.09,0.43,1.689,2.59,2.3,0.4
35,0.318831,0.940082,0.316771,0.938944,0.00315181,3.5,0,62.4,78,3,26.2,32,45,47.4,48,38.5,39.22,39.4,2160.0,9641.0,0.0,0,3.8,17.44,56.8,23.99,24.0,24.0,63.16,0.0,0.0,0.0,0.0,0.33,1.25,1.689,2.59,2.3,0.44
36,0.320075,0.939200,0.308581,0.939568,0.00309638,3.4,3,33.0,53,3,19.2,30,46,47.8,49,37.3,41.32,44.0,1779.0,8481.0,0.0,0,8.7,20.72,56.3,24.0,24.01,24.01,63.16,0.0,0.0,0.0,0.0,1.65,7.8,1.689,2.59,2.23,0.38
37,0.317170,0.940510,0.311626,0.939222,0.00303973,3.5,0,48.8,61,3,18.2,22,46,49.2,50,37.4,37.54,38.1,2160.0,9641.0,0.0,0,7.7,19.92,56.3,24.01,24.02,24.02,63.16,0.0,0.0,0.0,0.0,0.07,0.36,1.689,2.59,2.32,0.42
38,0.314827,0.942347,0.411813,0.887463,0.00298191,3.6,3,48.6,60,3,23.8,29,46,47.6,48,36.2,37.48,37.8,744.0,5001.0,0.0,0,7.8,19.38,57.0,24.02,24.02,24.03,63.16,0.0,0.0,0.0,0.0,0.1,0.52,1.689,2.59,2.31,0.44
39,0.320268,0.938209,0.391595,0.897037,0.00292299,3.5,86,86.0,86,30,30.0,30,48,48.0,48,35.7,35.7,35.7,2565.0,10801.0,0.0,0,7.6,18.7,56.0,24.02,24.02,24.02,63.16,0.0,0.0,0.0,0.0,0.1,0.4,1.689,2.59,2.34,0.37
40,0.313163,0.942579,0.289444,0.950045,0.00286303,3.4,1,28.6,47,1,16.6,27,47,47.6,48,54.5,57.5,59.5,2565.0,10801.0,0.0,0,7.5,19.72,58.8,24.02,24.03,24.03,63.16,0.0,0.0,0.0,0.0,0.08,0.4,1.689,2.59,2.31,0.26
41,0.312421,0.943461,0.468596,0.857420,0.00280210,3.6,1,53.8,67,3,19.0,23,46,49.2,50,36.1,36.28,37.0,2142.0,9641.0,0.0,0,7.4,20.12,55.9,24.03,24.04,24.04,63.16,0.0,0.0,0.02,0.0,0.14,0.62,1.689,2.59,2.29,0.42
42,0.314589,0.941196,0.299639,0.940817,0.00274027,3.5,3,72.6,90,2,26.8,33,46,46.8,47,34.5,35.14,35.3,537.0,5001.0,0.0,0,4.6,14.98,52.8,24.01,24.02,24.03,63.16,0.0,0.0,0.0,0.0,0.09,0.4,1.689,2.59,2.26,0.42
43,0.310862,0.943547,0.329065,0.925484,0.00267761,3.6,0,77.6,97,3,25.4,31,46,46.8,47,36.0,36.34,37.7,750.0,5001.0,0.0,0,3.4,14.66,52.5,24.02,24.03,24.03,63.16,0.0,0.0,0.0,0.0,0.17,0.47,1.689,2.59,2.28,0.51
44,0.306699,0.945310,0.285826,0.948519,0.00261419,3.6,42,43.0,47,18,19.6,26,48,48.2,49,32.8,36.62,51.9,912.0,6161.0,0.0,0,6.2,19.54,55.6,24.02,24.03,24.05,63.16,0.0,0.11,0.55,0.0,0.23,0.62,1.689,2.59,2.31,0.46
45,0.305418,0.946056,0.305267,0.941927,0.00255008,3.4,6,6.0,6,3,3.0,3,48,48.0,48,32.0,32.0,32.0,585.0,5001.0,0.0,0,5.0,16.08,55.0,24.02,24.02,24.03,63.16,0.0,0.03,0.17,0.0,0.19,0.6,1.689,2.59,2.25,0.37
46,0.308539,0.944159,0.466935,0.865677,0.00248535,3.4,61,61.0,61,23,23.0,23,48,48.0,48,34.4,34.4,34.4,495.0,5001.0,0.0,0,6.8,18.38,54.0,24.04,24.04,24.04,63.16,0.0,0.0,0.0,0.0,0.13,0.36,1.689,2.59,2.28,0.37
47,0.308946,0.944440,0.323329,0.933463,0.00242008,3.5,98,98.0,98,29,29.0,29,48,48.0,48,33.8,33.8,33.8,525.0,5001.0,0.0,0,4.3,19.3,52.1,24.02,24.02,24.02,63.16,0.0,0.0,0.0,0.0,0.29,0.87,1.689,2.59,2.27,0.45
48,0.303568,0.946718,0.287810,0.946715,0.00235433,3.6,55,55.2,56,22,25.2,38,48,48.4,50,33.0,35.76,46.8,873.0,6161.0,0.0,0,9.0,19.08,52.0,24.02,24.03,24.04,63.16,0.0,0.0,0.01,0.0,0.11,0.5,1.689,2.59,2.29,0.53
49,0.304871,0.947256,0.304809,0.942274,0.00228819,3.4,6,15.6,54,2,7.4,29,48,48.8,52,33.9,38.36,56.2,888.0,6161.0,0.0,0,7.3,19.26,54.0,24.03,24.03,24.04,63.16,0.0,0.0,0.0,0.0,0.08,0.39,1.689,2.59,2.21,0.42
50,0.300068,0.948787,0.563371,0.809200,0.00222173,3.5,15,24.0,60,6,11.2,32,48,48.4,50,32.5,36.4,52.0,888.0,6161.0,0.0,0,6.0,16.64,52.6,24.03,24.03,24.04,63.16,0.0,0.0,0.0,0.0,0.08,0.38,1.689,2.59,2.26,0.46
51,0.303957,0.946632,0.340373,0.924304,0.00215501,3.7,2,24.4,58,2,13.6,31,47,48.2,50,31.9,36.66,43.8,1359.0,7321.0,0.0,0,3.5,15.22,54.5,24.02,24.02,24.03,63.16,0.0,0.0,0.0,0.0,0.5,1.84,1.689,2.59,2.38,0.44
52,0.299883,0.949301,0.552924,0.824117,0.00208813,3.5,0,48.8,61,2,17.2,21,47,51.0,52,33.6,37.04,37.9,2160.0,9641.0,0.0,0,3.6,15.08,51.7,24.04,24.04,24.04,63.16,0.0,0.0,0.0,0.0,0.46,1.89,1.689,2.59,2.27,0.45
53,0.301147,0.948530,0.279971,0.951780,0.00202114,3.5,2,21.2,34,3,13.2,20,48,49.2,50,39.7,39.76,39.8,1719.0,8481.0,0.0,0,5.8,18.28,54.9,24.03,24.03,24.04,63.16,0.0,0.0,0.0,0.0,0.23,0.83,1.689,2.59,2.26,0.41
54,0.298223,0.949803,0.296207,0.943176,0.00195413,3.6,1,77.8,97,3,20.6,25,48,48.0,48,37.2,37.36,38.0,2148.0,9641.0,0.0,0,7.3,20.62,53.4,24.02,24.02,24.03,63.16,0.0,0.0,0.0,0.0,0.22,0.74,1.689,2.59,2.29,0.46
55,0.297734,0.949717,0.367532,0.911469,0.00188717,3.5,3,78.2,97,3,23.8,29,48,48.8,49,35.1,36.04,39.8,417.0,5001.0,0.0,0,4.0,14.98,54.3,24.02,24.03,24.04,63.16,0.0,0.0,0.0,0.0,0.11,0.49,1.689,2.59,2.3,0.43
56,0.297201,0.950623,0.335557,0.928120,0.00182034,3.6,98,98.0,98,30,30.0,30,49,49.0,49,34.8,34.8,34.8,615.0,5001.0,0.0,0,7.8,18.3,53.0,24.02,24.03,24.04,63.16,0.0,0.0,0.01,0.0,0.21,0.55,1.689,2.59,2.29,0.49
