epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
8,1,,,,,,,5,2,44,110.0,2760,10801,30,0,47.0,29.16,0.0,0.0,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,,,,,,,58,19,48,111.7,2760,10801,30,0,12.5,29.16,0.0,0.68,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,summary,2.203762,0.176186,2.019895,0.395242,0.00025600,0.9,,,,,,,,,,,,,,5,31.5,58,2,10.5,19,44,46.0,48,110.0,110.85,111.7,2760.0,10801.0,30.0,0,12.5,29.75,47.0,29.16,29.16,29.16,63.16,0.0,0.0,0.0,0.0,0.34,0.68,0.752,0.877,1.755,1.75,1.755,15.992,0.2,0.57
9,1,,,,,,,7,2,44,106.9,2760,10801,30,0,48.9,29.16,0.0,0.0,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,,,,,,,61,21,48,113.3,2760,10801,30,0,10.2,29.15,0.0,17.56,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,summary,2.144010,0.260245,1.936128,0.451052,0.00028800,0.9,,,,,,,,,,,,,,7,34.0,61,2,11.5,21,44,46.0,48,106.9,110.1,113.3,2760.0,10801.0,30.0,0,10.2,29.55,48.9,29.15,29.16,29.16,63.16,0.0,0.0,0.0,0.0,8.78,17.56,0.752,0.877,1.755,1.75,1.755,15.992,0.18,0.57
10,1,,,,,,,6,2,44,107.6,2760,10801,30,0,50.6,29.16,0.0,13.85,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,,,,,,,58,19,48,112.3,2760,10801,30,0,8.0,29.15,0.0,17.38,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,summary,2.049456,0.318813,1.670657,0.462031,0.00032000,0.9,,,,,,,,,,,,,,6,32.0,58,2,10.5,19,44,46.0,48,107.6,109.95,112.3,2760.0,10801.0,30.0,0,8.0,29.3,50.6,29.15,29.16,29.16,63.16,0.0,0.0,0.0,13.85,15.61,17.38,0.752,0.877,1.755,1.75,1.755,15.992,0.21,0.56
11,1,,,,,,,8,2,45,106.6,2760,10801,30,0,49.2,29.16,0.0,0.0,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,,,,,,,58,20,48,112.2,2760,10801,30,0,9.2,29.16,0.0,0.48,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,summary,1.913161,0.310100,1.528934,0.549863,0.00035200,0.9,,,,,,,,,,,,,,8,33.0,58,2,11.0,20,45,46.5,48,106.6,109.4,112.2,2760.0,10801.0,30.0,0,9.2,29.2,49.2,29.16,29.16,29.16,63.16,0.0,0.0,0.0,0.0,0.24,0.48,0.752,0.877,1.755,1.75,1.755,15.992,0.19,0.57
12,1,,,,,,,14,4,47,107.9,2760,10801,30,0,51.9,29.17,0.0,0.0,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,,,,,,,56,18,48,111.5,2760,10801,30,0,10.5,29.17,0.0,0.93,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,summary,1.767488,0.407389,1.286978,0.670631,0.00038400,0.9,,,,,,,,,,,,,,14,35.0,56,4,11.0,18,47,47.5,48,107.9,109.7,111.5,2760.0,10801.0,30.0,0,10.5,31.2,51.9,29.17,29.17,29.17,63.16,0.0,0.0,0.0,0.0,0.47,0.93,0.752,0.877,1.755,1.75,1.755,15.992,0.2,0.57
13,1,,,,,,,13,4,45,108.5,2760,10801,30,0,51.7,29.15,0.0,55.41,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,,,,,,,49,15,51,110.5,2760,10801,30,0,10.6,29.15,0.09,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,summary,1.562471,0.474024,1.041512,0.731016,0.00041600,0.9,,,,,,,,,,,,,,13,31.0,49,4,9.5,15,45,48.0,51,108.5,109.5,110.5,2760.0,10801.0,30.0,0,10.6,31.15,51.7,29.15,29.15,29.15,63.16,0.0,0.04,0.09,0.0,27.7,55.41,0.752,0.879,1.755,1.76,1.757,15.992,0.23,0.61
14,1,,,,,,,49,15,51,110.5,2760,10801,30,0,51.4,29.16,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,,,,,,,54,17,49,113.3,2760,10801,30,0,9.2,29.15,0.0,17.57,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,summary,1.395242,0.567441,0.938731,0.787740,0.00044800,0.9,,,,,,,,,,,,,,49,51.5,54,15,16.0,17,49,50.0,51,110.5,111.9,113.3,2760.0,10801.0,30.0,0,9.2,30.3,51.4,29.15,29.16,29.16,63.16,0.0,0.0,0.0,0.0,8.79,17.57,0.751,0.879,1.757,1.76,1.757,15.992,0.19,0.56
15,1,,,,,,,21,8,44,109.6,2760,10801,30,0,48.6,29.15,0.0,0.0,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,,,,,,,58,20,50,111.2,2760,10801,30,0,9.8,29.15,0.54,17.82,1.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
