epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.097834,0.362242,1.078068,0.403226,0.00128000,59.7,97,99.0,100,62,68.4,75,50,51.2,53,124.4,165.56,192.1,2760.0,10801.0,30.0,0,5.5,39.56,68.7,31.47,31.77,32.05,63.16,0.0,0.06,0.21,0.0,0.23,0.41,6.564,9.928,52.04,6.17
2,1.055279,0.423001,1.022520,0.554211,0.00256000,17.4,97,98.6,100,34,45.4,59,49,51.2,53,66.7,148.6,182.7,2760.0,10801.0,30.0,0,6.9,47.04,64.2,31.82,32.07,32.32,63.16,0.0,0.0,0.01,0.15,0.25,0.52,6.564,13.928,9.57,6.51
3,0.984326,0.518262,0.842584,0.677688,0.00384000,17.4,96,99.2,100,36,50.8,62,50,51.8,53,97.8,157.44,184.8,2754.0,10801.0,30.0,0,5.6,47.18,65.1,31.76,32.05,32.32,63.16,0.0,0.01,0.05,0.06,0.81,2.2,6.564,13.928,9.64,6.51
4,0.891312,0.595387,0.696896,0.738934,0.00399919,21.6,98,99.2,100,2,48.4,71,46,50.8,54,66.5,125.88,185.3,2754.0,10801.0,30.0,0,6.4,27.6,65.5,31.75,32.5,32.71,63.16,0.0,0.0,0.01,0.06,0.24,0.51,6.564,13.928,7.19,13.03
5,0.826928,0.642392,0.755447,0.690188,0.00399630,17.5,100,100.0,100,46,64.2,73,51,52.4,54,80.4,154.08,185.8,2757.0,10801.0,30.0,0,6.3,47.06,66.6,31.88,32.16,32.41,63.16,0.0,0.0,0.0,0.05,0.27,1.1,6.564,13.928,9.02,7.06
6,0.786544,0.670712,0.685099,0.726030,0.00399131,16.5,97,98.6,100,49,58.2,77,51,53.0,55,95.4,157.72,187.8,2757.0,10801.0,30.0,0,5.8,47.18,65.4,31.87,32.15,32.4,63.16,0.0,0.04,0.21,0.01,0.37,1.44,6.564,13.928,8.91,6.26
7,0.757900,0.688783,0.678828,0.743548,0.00398423,16.5,97,99.0,100,45,59.0,69,53,54.2,56,109.3,162.4,187.0,2760.0,10801.0,30.0,0,9.6,48.46,65.2,31.81,32.09,32.36,63.16,0.0,0.0,0.02,0.02,0.33,1.23,6.564,13.928,8.75,6.36
8,0.733317,0.705043,0.595353,0.795027,0.00397506,16.7,97,98.2,100,50,57.2,78,52,53.8,57,78.0,154.0,191.0,2760.0,10801.0,30.0,0,6.7,45.92,64.5,31.8,32.09,32.33,63.16,0.0,0.0,0.01,0.08,0.15,0.21,6.564,13.928,9.07,6.32
9,0.712128,0.717808,0.540044,0.825179,0.00396381,16.6,90,97.0,100,47,60.8,76,52,53.6,56,111.0,161.58,190.2,2751.0,10801.0,30.0,0,6.9,46.56,64.3,31.78,32.11,32.37,63.16,0.0,0.0,0.0,0.0,0.1,0.21,6.564,13.928,8.94,6.35
10,0.693340,0.728907,0.826384,0.650717,0.00395050,16.5,98,98.8,100,42,59.6,78,50,53.8,57,65.8,152.08,190.1,2760.0,10801.0,30.0,0,8.1,49.48,67.4,31.09,31.37,31.6,63.16,0.0,0.0,0.01,0.05,0.12,0.16,6.564,13.928,8.85,6.26
11,0.677626,0.737859,0.515033,0.842697,0.00393514,16.4,97,97.8,100,51,59.4,77,51,53.4,56,67.3,154.12,189.4,2754.0,10801.0,30.0,0,5.2,47.04,64.3,31.1,31.36,31.61,63.16,0.0,0.0,0.0,0.02,0.08,0.13,6.564,13.928,8.71,6.24
12,0.670074,0.743034,0.524764,0.837186,0.00391774,16.4,97,99.2,100,62,69.2,78,52,55.0,58,135.8,171.18,186.8,2751.0,10801.0,30.0,0,7.0,47.26,63.8,31.07,31.35,31.6,63.16,0.0,0.0,0.0,0.04,0.12,0.17,6.564,13.928,8.83,6.23
13,0.664734,0.746017,0.580072,0.794668,0.00389833,16.5,98,99.2,100,50,66.2,79,52,53.8,55,127.6,165.12,191.5,2754.0,10801.0,30.0,0,5.2,46.44,64.7,31.03,31.29,31.52,63.16,0.0,0.02,0.12,0.05,0.2,0.56,6.564,13.928,8.87,6.36
14,0.645371,0.757417,0.709113,0.736873,0.00387692,16.2,97,99.4,100,42,65.8,78,52,54.6,56,110.7,160.08,191.6,2760.0,10801.0,30.0,0,5.9,48.74,67.8,31.03,31.28,31.52,63.16,0.0,0.0,0.0,0.05,0.4,1.47,6.564,13.928,8.65,6.26
15,0.634828,0.764496,0.459948,0.864247,0.00385354,16.4,98,99.2,100,44,64.2,76,54,55.0,56,104.4,158.9,192.2,2760.0,10801.0,30.0,0,7.3,48.16,65.5,31.0,31.27,31.53,63.16,0.0,0.0,0.0,0.04,0.13,0.2,6.564,13.928,8.79,6.27
16,0.622860,0.771250,0.477584,0.866846,0.00382821,16.6,98,99.6,100,42,63.6,78,51,53.0,54,108.5,158.34,191.7,2745.0,10801.0,30.0,0,5.7,46.6,65.4,30.94,31.28,31.53,63.16,0.0,0.0,0.0,0.05,0.1,0.16,6.564,13.928,8.95,6.3
17,0.612033,0.777997,0.475467,0.854211,0.00380095,16.7,97,98.6,100,42,59.2,75,54,54.8,56,97.3,154.1,184.6,2745.0,10801.0,30.0,0,5.2,45.7,63.6,31.04,31.3,31.54,63.16,0.0,0.0,0.0,0.06,0.15,0.21,6.564,13.928,9.0,6.29
18,0.606633,0.780906,0.456262,0.860797,0.00377180,19.5,96,98.8,100,46,62.4,74,53,54.4,56,80.0,147.22,188.3,2748.0,10801.0,30.0,0,9.3,46.56,63.5,31.01,31.31,31.6,63.16,0.0,0.0,0.0,0.0,0.07,0.15,6.564,13.928,8.9,9.37
19,0.598163,0.786347,0.457768,0.868011,0.00374079,16.4,97,98.8,100,3,43.2,84,49,52.6,55,109.0,159.32,189.4,2751.0,10801.0,30.0,0,6.5,45.9,65.5,31.05,31.34,31.59,63.16,0.0,0.0,0.0,0.0,0.13,0.29,6.564,13.928,7.41,7.74
