epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.098660,0.363969,1.075655,0.404435,0.00124000,59.0,94,97.8,100,48,62.6,73,46,50.0,52,45.8,141.84,185.5,2760.0,10801.0,0.0,0,7.3,38.62,62.3,31.47,31.78,32.04,63.16,0.0,0.03,0.1,0.0,0.81,1.81,5.024,7.721,52.78,5.0
2,1.055173,0.432283,1.026906,0.531093,0.00248000,15.3,92,97.0,100,53,60.0,74,48,50.8,53,61.7,142.16,186.2,2760.0,10801.0,0.0,0,9.5,49.4,66.6,31.68,31.88,32.11,63.16,0.0,0.01,0.02,0.0,0.11,0.23,5.024,10.783,9.24,4.93
3,0.974363,0.531757,0.792910,0.678898,0.00372000,14.9,98,99.2,100,55,66.4,75,47,52.0,54,35.6,135.88,189.6,2721.0,10801.0,0.0,0,5.9,49.94,67.5,31.65,31.83,32.07,63.16,0.0,0.16,0.76,0.0,0.62,2.69,5.024,10.783,8.98,4.81
4,0.864209,0.618068,0.701164,0.738082,0.00399937,15.3,97,98.8,100,53,66.4,82,45,53.0,57,34.3,138.32,190.0,2721.0,10801.0,0.0,0,6.7,47.52,65.4,31.58,31.81,32.08,63.16,0.0,0.0,0.01,0.0,0.1,0.18,5.024,10.783,9.29,4.95
5,0.792689,0.667885,0.693009,0.733378,0.00399668,15.1,97,98.6,100,51,62.2,75,53,56.0,59,47.4,142.4,188.3,2748.0,10801.0,0.0,0,5.6,47.4,66.2,31.65,31.8,31.96,63.16,0.0,0.01,0.03,0.0,0.2,0.42,5.024,10.783,8.95,4.98
6,0.748769,0.696182,0.644052,0.754570,0.00399190,15.4,96,98.4,100,54,62.0,74,54,57.4,59,48.6,141.56,191.6,2748.0,10801.0,12.0,0,8.2,48.12,66.0,31.4,31.64,31.91,63.16,0.0,0.01,0.02,0.04,0.22,0.46,5.024,10.783,9.34,5.02
7,0.716863,0.715633,0.675860,0.732348,0.00398501,15.4,97,98.2,100,53,59.8,72,55,56.0,58,65.0,148.68,192.8,2748.0,10801.0,30.0,0,7.5,48.68,67.0,31.29,31.59,31.88,63.16,0.0,0.0,0.0,0.06,0.13,0.25,5.024,10.783,9.37,4.91
8,0.692228,0.731825,0.505675,0.840860,0.00397603,15.4,97,98.2,100,47,60.2,74,52,55.2,58,50.9,138.04,190.6,2715.0,10801.0,30.0,0,7.8,49.82,67.0,31.42,31.68,31.94,63.16,0.0,0.0,0.0,0.0,0.28,0.86,5.024,10.783,9.37,4.91
9,0.675079,0.742538,0.860275,0.634095,0.00396497,15.1,96,97.2,98,54,56.4,62,55,55.8,58,94.8,147.4,190.7,2754.0,10801.0,30.0,0,7.5,48.02,67.7,31.43,31.68,31.94,63.16,0.0,0.01,0.03,0.0,0.14,0.39,5.024,10.783,9.07,4.98
10,0.653895,0.754274,0.699294,0.721864,0.00395184,15.1,97,98.0,100,53,58.6,71,54,55.0,56,62.6,142.66,190.2,2748.0,10801.0,30.0,0,6.0,47.28,64.7,31.43,31.68,31.94,63.16,0.0,0.08,0.4,0.0,0.83,3.58,5.024,10.783,9.11,4.87
11,0.660762,0.751364,0.546012,0.820161,0.00393665,15.3,96,97.8,100,56,59.0,68,50,54.2,57,66.0,141.2,190.8,2760.0,10801.0,30.0,0,13.5,49.26,66.0,31.32,31.59,31.87,63.16,0.0,0.01,0.03,0.0,0.14,0.28,5.024,10.783,9.21,4.89
12,0.626985,0.771099,0.466253,0.868235,0.00391942,15.4,96,98.6,100,50,60.8,72,49,52.8,56,36.7,128.18,190.8,2682.0,10801.0,30.0,0,8.7,48.46,66.3,31.44,31.66,31.93,63.16,0.0,0.01,0.02,0.03,0.24,0.52,5.024,10.783,9.48,4.88
13,0.605209,0.783412,0.432675,0.886156,0.00390017,15.0,97,98.4,100,52,62.0,74,53,54.6,56,51.1,147.88,188.5,2748.0,10801.0,30.0,0,9.3,50.14,66.8,31.4,31.66,31.94,63.16,0.0,0.01,0.02,0.1,0.26,0.4,5.024,10.783,8.98,4.97
14,0.591120,0.791937,0.528872,0.830197,0.00387892,15.1,98,98.8,100,53,61.4,72,52,54.8,58,62.2,149.84,190.0,2748.0,10801.0,30.0,0,7.7,50.46,67.8,31.41,31.67,31.94,63.16,0.0,0.0,0.0,0.0,0.21,0.34,5.024,10.783,9.12,4.9
15,0.580176,0.797269,0.627319,0.761156,0.00385569,15.3,96,98.4,100,54,61.2,71,51,53.8,56,73.2,143.44,188.8,2760.0,10801.0,30.0,0,5.7,47.88,66.9,31.38,31.67,31.95,63.16,0.0,0.0,0.0,0.0,0.13,0.45,5.024,10.783,9.34,4.85
16,0.573936,0.801219,0.435827,0.882930,0.00383050,15.4,97,98.4,100,57,63.0,71,52,54.4,56,87.3,150.52,192.1,2760.0,10801.0,30.0,0,6.8,46.76,65.6,31.47,31.7,31.95,63.16,0.0,0.01,0.03,0.04,0.14,0.2,5.024,10.783,9.47,4.83
