epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.986032,0.292099,0.881685,0.845000,0.00029600,87.7,96,98.8,100,65,81.0,98,56,57.8,61,210.9,219.22,224.1,2748.0,10801.0,30.0,0,10.7,16.94,21.7,30.22,30.31,30.37,63.16,0.0,0.01,0.05,0.03,0.64,2.59,10.953,14.25,80.93,6.15
2,0.674569,0.858888,0.328427,0.984444,0.00059200,41.0,96,98.8,100,74,85.0,94,60,61.2,62,218.4,224.16,227.3,2745.0,10801.0,30.2,0,13.6,22.56,30.7,30.3,30.33,30.39,63.16,0.0,0.0,0.0,2.01,4.51,8.9,10.958,14.25,33.4,6.92
3,0.424198,0.951139,0.311976,0.988667,0.00088800,41.5,96,99.2,100,70,80.4,95,61,63.0,66,225.1,226.6,228.5,2745.0,10801.0,32.0,0,15.9,25.76,35.1,30.32,30.37,30.44,63.16,0.0,0.01,0.04,2.44,4.4,7.07,10.958,14.252,33.08,7.71
4,0.386639,0.963708,0.308425,0.991444,0.00099998,41.4,96,99.2,100,65,76.4,87,65,66.2,68,226.2,228.0,231.7,2730.0,10801.0,33.6,0,12.2,23.28,34.2,30.3,30.37,30.46,63.16,0.0,0.0,0.01,2.25,4.37,7.12,10.955,14.252,33.45,7.33
5,0.369259,0.969689,0.308965,0.990444,0.00099983,42.6,96,99.0,100,71,81.2,96,66,67.0,68,225.7,227.34,228.4,2730.0,10801.0,35.0,0,15.1,25.84,34.7,30.32,30.37,30.42,63.16,0.0,0.0,0.01,2.22,4.31,6.9,10.955,14.252,35.04,6.95
6,0.355834,0.974100,0.305436,0.991444,0.00099956,41.9,94,98.0,100,73,81.4,97,66,67.0,68,224.6,227.58,229.1,2730.0,10801.0,35.4,0,14.1,22.78,31.5,30.13,30.23,30.33,63.16,0.0,0.0,0.0,1.95,3.64,5.75,10.955,14.252,34.49,6.74
7,0.348940,0.976944,0.309548,0.990333,0.00099916,42.8,96,98.8,100,63,77.4,87,66,68.4,70,217.1,222.54,228.9,2730.0,10801.0,36.0,0,15.6,26.68,36.3,29.97,30.16,30.24,63.16,0.0,0.02,0.06,2.85,4.53,7.02,10.957,14.252,34.44,7.65
8,0.343200,0.978579,0.302036,0.993111,0.00099864,44.0,96,98.6,100,61,69.6,78,67,68.2,70,209.9,221.62,225.2,2730.0,10801.0,36.0,0,14.0,24.7,34.3,29.92,29.99,30.1,63.16,0.01,0.02,0.03,2.09,3.57,5.53,10.957,14.252,35.85,7.33
9,0.339647,0.979836,0.299019,0.994000,0.00099798,43.9,99,99.8,100,70,82.6,91,67,67.0,67,218.9,222.74,225.6,2730.0,10801.0,36.8,0,13.6,26.22,35.5,29.97,30.0,30.05,63.16,0.01,0.02,0.04,2.16,4.27,6.64,10.958,14.252,35.6,7.61
10,0.336152,0.980945,0.299420,0.994222,0.00099720,43.9,96,98.2,100,60,76.2,90,66,67.2,69,221.3,223.06,226.2,2730.0,10801.0,37.0,0,13.1,22.66,35.3,29.79,29.9,29.98,63.16,0.0,0.12,0.58,2.08,4.28,8.13,10.958,14.252,37.62,5.59
11,0.333592,0.982017,0.301057,0.994111,0.00099630,43.6,100,100.0,100,74,84.4,93,68,69.2,70,222.5,223.64,225.6,2730.0,10801.0,37.0,0,11.5,22.8,35.7,29.82,29.89,30.02,63.16,0.0,0.0,0.01,1.79,3.62,5.77,10.957,14.252,37.34,5.64
12,0.330162,0.983214,0.299287,0.994000,0.00099526,43.4,96,98.4,100,62,79.8,95,67,68.6,70,213.9,221.44,224.4,2730.0,10801.0,37.0,0,13.7,21.78,33.0,29.89,29.96,30.03,63.16,0.0,0.01,0.02,1.9,3.57,5.86,10.957,14.252,37.38,5.41
13,0.329694,0.983305,0.300380,0.994333,0.00099410,43.7,97,99.0,100,63,72.8,89,68,69.6,72,220.4,224.02,225.8,2730.0,10801.0,37.0,0,10.8,22.1,35.7,29.82,29.93,30.05,63.16,0.0,0.02,0.08,2.45,3.88,5.72,10.957,14.252,37.41,5.67
14,0.326730,0.984178,0.296215,0.995556,0.00099282,43.1,96,98.8,100,70,81.6,91,68,68.6,69,223.1,225.24,226.3,2730.0,10801.0,37.2,0,12.9,22.0,33.0,29.76,29.79,29.85,63.16,0.0,0.0,0.0,1.99,3.54,5.73,10.955,14.252,37.04,5.37
15,0.325020,0.984965,0.296168,0.995000,0.00099140,43.7,96,97.6,100,67,78.8,84,68,69.4,72,221.8,223.54,225.1,2730.0,10801.0,38.0,0,10.9,23.02,36.6,29.85,29.88,29.92,63.16,0.0,0.0,0.0,2.16,4.24,6.81,10.958,14.252,36.25,6.79
