epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
19,0.392595,0.986022,0.394263,0.985534,0.00099070,20.8,96,98.6,100,73,91.2,100,67,68.0,70,223.0,226.04,227.6,2730.0,10801.0,36.6,0,7.3,21.36,44.4,28.56,28.58,28.62,63.16,0.0,0.0,0.0,3.54,5.68,7.08,10.787,13.721,14.98,2.94
20,0.392512,0.986545,0.397743,0.984299,0.00098907,20.8,96,98.4,100,75,83.8,95,66,68.4,71,222.8,225.7,228.0,2730.0,10801.0,36.6,0,6.2,20.3,43.7,28.6,28.64,28.67,63.16,0.0,0.01,0.03,4.09,5.09,6.91,10.787,13.721,15.16,2.86
21,0.391157,0.986477,0.393512,0.985675,0.00098732,20.7,96,98.6,100,74,85.4,93,66,68.2,70,224.6,226.74,228.7,2730.0,10801.0,36.4,0,6.4,19.88,43.4,28.53,28.61,28.69,63.16,0.0,0.01,0.03,3.27,4.99,6.33,10.786,13.721,15.12,2.7
22,0.389932,0.986726,0.395265,0.985182,0.00098543,21.0,96,98.6,100,74,86.8,100,68,69.2,71,217.0,223.88,227.4,2730.0,10801.0,36.8,0,7.6,20.3,43.5,28.59,28.62,28.63,63.16,0.0,0.01,0.02,3.94,5.79,7.25,10.787,13.721,15.04,2.97
23,0.389748,0.987131,0.390368,0.986910,0.00098341,20.9,95,98.4,100,74,88.2,98,67,68.0,70,217.2,224.7,228.8,2730.0,10801.0,37.0,0,7.1,20.74,44.8,28.54,28.6,28.69,63.16,0.0,0.02,0.03,2.96,4.8,6.54,10.787,13.721,15.05,2.91
24,0.387285,0.987529,0.400223,0.983135,0.00098127,21.3,100,100.0,100,75,78.4,81,67,67.8,69,220.3,223.82,226.5,2730.0,10801.0,36.8,0,9.3,22.74,45.4,28.69,28.75,28.82,63.16,0.03,0.11,0.21,4.89,6.19,7.81,10.787,13.721,15.48,2.81
25,0.387200,0.987554,0.392348,0.986593,0.00097899,21.0,95,96.6,99,69,86.0,96,67,69.8,72,220.8,225.48,228.6,2730.0,10801.0,37.0,0,9.1,22.92,47.2,29.05,29.19,29.3,63.16,0.64,1.17,1.45,9.45,11.06,13.3,10.791,13.721,15.04,2.95
26,0.385825,0.988090,0.392260,0.987051,0.00097660,21.0,96,99.2,100,74,88.4,100,66,68.2,72,218.8,225.72,230.0,2730.0,10801.0,36.8,0,7.1,23.1,49.8,29.46,29.6,29.74,63.16,0.81,1.31,1.93,9.58,12.53,17.52,10.791,13.721,14.9,3.16
27,0.385765,0.988052,0.389950,0.987193,0.00097407,21.1,96,99.2,100,77,92.6,100,67,68.6,70,222.5,225.54,229.8,2730.0,10801.0,37.0,0,8.5,21.48,44.0,29.45,29.49,29.56,63.16,0.35,0.51,0.74,5.81,7.49,10.93,10.787,13.721,15.52,2.67
28,0.384122,0.988457,0.393517,0.986134,0.00097142,21.1,96,98.6,100,72,86.0,100,67,68.6,72,225.3,226.82,228.4,2733.0,10801.0,37.0,0,8.9,22.42,46.9,29.4,29.44,29.45,63.16,0.1,0.4,1.08,5.59,7.87,9.33,10.787,13.721,15.2,3.02
29,0.383667,0.988550,0.393320,0.985534,0.00096864,21.0,96,97.4,100,76,87.6,93,67,68.4,70,223.8,224.82,227.2,2730.0,10801.0,37.0,0,6.2,19.66,44.6,29.15,29.3,29.36,63.16,0.0,0.02,0.04,3.57,4.91,5.99,10.788,13.721,15.05,3.01
30,0.382891,0.988899,0.391728,0.987369,0.00096574,21.1,96,98.8,100,77,84.4,93,66,69.0,71,223.9,226.16,228.3,2730.0,10801.0,37.0,0,8.1,20.46,43.8,29.15,29.18,29.22,63.16,0.0,0.0,0.0,3.43,4.93,6.16,10.788,13.721,15.23,2.98
