epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.142034,0.689529,0.351780,0.984222,0.00100000,208.9,100,100.0,100,3,6.8,21,53,55.2,57,146.3,148.02,149.8,2745.0,10801.0,30.0,0,6.8,9.66,11.7,31.52,31.54,31.55,63.16,0.0,0.0,0.02,0.03,0.06,0.11,12.659,15.756,44.42,93.06
2,0.497341,0.931899,0.314605,0.990556,0.00100000,574.7,100,100.0,100,2,6.4,9,48,49.4,51,86.8,89.4,94.0,2757.0,10801.0,30.0,0,5.6,7.6,12.4,35.11,35.13,35.15,63.16,0.0,0.0,0.0,0.04,0.44,1.94,12.659,19.396,2.29,501.43
3,0.417571,0.958908,0.308329,0.992111,0.00100000,574.7,100,100.0,100,2,4.2,7,47,48.0,49,87.2,90.16,93.0,2760.0,10801.0,30.0,0,5.7,7.24,11.1,35.12,35.14,35.16,63.16,0.0,0.01,0.02,0.03,0.46,2.06,12.659,19.396,2.24,501.55
4,0.392950,0.967109,0.304097,0.992667,0.00100000,575.3,100,100.0,100,2,3.4,6,48,48.0,48,86.5,90.04,92.9,2760.0,10801.0,30.0,0,5.8,7.28,11.1,35.13,35.14,35.15,63.16,0.0,0.01,0.03,0.04,0.48,2.14,12.659,19.396,2.17,502.29
5,0.377993,0.971880,0.300976,0.993667,0.00100000,575.3,100,100.0,100,2,6.4,9,48,48.2,49,86.8,89.68,92.4,2760.0,10801.0,30.0,0,5.7,7.28,11.0,35.12,35.14,35.15,63.16,0.0,0.0,0.02,0.03,0.46,2.01,12.659,19.396,2.25,502.32
6,0.369580,0.974637,0.299856,0.994889,0.00100000,574.8,100,100.0,100,2,3.8,6,47,47.6,48,86.4,87.54,88.3,2760.0,10801.0,30.0,0,6.0,7.32,11.2,35.14,35.14,35.15,63.16,0.0,0.0,0.01,0.04,0.49,2.11,12.659,19.396,2.19,501.76
7,0.361652,0.977071,0.297725,0.995111,0.00100000,574.6,96,99.2,100,2,6.6,12,47,47.2,48,85.8,87.32,88.9,2760.0,10801.0,30.0,0,5.8,7.34,11.2,35.13,35.14,35.15,63.16,0.0,0.0,0.01,0.03,0.47,1.93,12.659,19.396,2.34,501.47
8,0.356258,0.978764,0.295564,0.996111,0.00100000,575.0,100,100.0,100,2,5.2,9,47,47.0,47,86.5,88.46,93.1,2760.0,10801.0,30.0,0,5.7,7.3,11.0,35.13,35.14,35.15,63.16,0.0,0.01,0.02,0.04,0.46,1.96,12.659,19.396,2.24,501.87
9,0.351885,0.980169,0.293940,0.996111,0.00100000,574.6,80,96.0,100,2,6.2,11,47,47.2,48,86.2,88.64,91.9,2760.0,10801.0,30.0,0,5.8,7.34,11.3,35.12,35.14,35.15,63.16,0.0,0.0,0.0,0.06,0.46,1.96,12.659,19.396,2.23,501.52
10,0.348425,0.981211,0.293285,0.996667,0.00100000,575.0,100,100.0,100,2,3.2,5,47,47.2,48,86.4,88.38,91.7,2760.0,10801.0,30.0,0,5.7,7.3,11.1,35.13,35.15,35.16,63.16,0.0,0.0,0.01,0.04,0.44,1.93,12.659,19.396,2.25,501.86
