epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
8,1,,,,,,,5,1,46,84.6,2760,10801,30,0,58.4,28.35,0.0,0.19,2.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,,,,,,,5,1,46,84.6,2760,10801,30,0,9.4,28.35,0.0,0.0,2.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,summary,0.353669,0.984672,0.312297,0.994511,0.00100000,0.6,,,,,,,,,,,,,,5,5.0,5,1,1.0,1,46,46.0,46,84.6,84.6,84.6,2760.0,10801.0,30.0,0,9.4,33.9,58.4,28.35,28.35,28.35,63.16,0.0,0.0,0.0,0.0,0.1,0.19,12.536,14.012,2.401,2.4,2.406,15.992,0.2,0.14
9,1,,,,,,,1,0,46,90.7,2760,10801,30,0,56.2,28.34,0.0,16.88,2.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,,,,,,,73,27,49,87.6,2760,10801,30,0,8.2,28.35,0.35,0.0,2.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,summary,0.351817,0.984672,0.310945,0.993596,0.00100000,0.6,,,,,,,,,,,,,,1,37.0,73,0,13.5,27,46,47.5,49,87.6,89.15,90.7,2760.0,10801.0,30.0,0,8.2,32.2,56.2,28.34,28.34,28.35,63.16,0.0,0.17,0.35,0.0,8.44,16.88,12.536,14.012,2.396,2.4,2.396,15.992,0.2,0.14
10,1,,,,,,,0,1,46,84.1,2760,10801,30,0,54.9,28.34,0.0,0.0,2.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,,,,,,,0,1,46,84.1,2760,10801,30,0,11.2,28.35,0.0,0.0,2.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,summary,0.343135,0.988383,0.310286,0.993596,0.00100000,0.6,,,,,,,,,,,,,,0,0.0,0,1,1.0,1,46,46.0,46,84.1,84.1,84.1,2760.0,10801.0,30.0,0,11.2,33.05,54.9,28.34,28.34,28.35,63.16,0.0,0.0,0.0,0.0,0.0,0.0,12.536,14.012,2.393,2.39,2.396,15.992,0.2,0.14
11,1,,,,,,,38,10,46,95.0,2760,10801,30,0,57.1,28.33,0.18,0.94,2.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,,,,,,,38,10,46,95.0,2760,10801,30,0,9.4,28.33,0.0,0.0,2.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,summary,0.342594,0.989190,0.309227,0.992681,0.00100000,0.6,,,,,,,,,,,,,,38,38.0,38,10,10.0,10,46,46.0,46,95.0,95.0,95.0,2760.0,10801.0,30.0,0,9.4,33.25,57.1,28.33,28.33,28.33,63.16,0.0,0.09,0.18,0.0,0.47,0.94,12.536,14.012,2.393,2.39,2.393,15.992,0.21,0.14
12,1,,,,,,,3,1,46,85.0,2760,10801,30,0,67.8,28.37,1.55,0.0,2.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,,,,,,,3,1,46,85.0,2760,10801,30,0,9.1,28.36,0.0,0.0,2.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,summary,0.341917,0.986447,0.306835,0.993596,0.00100000,0.6,,,,,,,,,,,,,,3,3.0,3,1,1.0,1,46,46.0,46,85.0,85.0,85.0,2760.0,10801.0,30.0,0,9.1,38.45,67.8,28.36,28.37,28.37,63.16,0.0,0.78,1.55,0.0,0.0,0.0,12.536,14.012,2.396,2.4,2.396,15.992,0.19,0.15
13,1,,,,,,,39,9,49,92.0,2760,10801,30,0,56.2,28.34,0.0,0.0,2.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,,,,,,,39,9,49,92.0,2760,10801,30,0,5.7,28.33,0.0,35.01,2.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,summary,0.335385,0.990481,0.308425,0.993596,0.00100000,0.6,,,,,,,,,,,,,,39,39.0,39,9,9.0,9,49,49.0,49,92.0,92.0,92.0,2760.0,10801.0,30.0,0,5.7,30.95,56.2,28.33,28.34,28.34,63.16,0.0,0.0,0.0,0.0,17.5,35.01,12.536,14.012,2.396,2.4,2.396,15.992,0.2,0.13
14,1,,,,,,,36,15,51,90.5,2760,10801,30,0,59.7,28.35,0.0,0.0,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,,,,,,,15,5,46,88.4,2760,10801,30,0,8.6,28.34,0.09,0.21,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,summary,0.336366,0.989997,0.306970,0.993596,0.00100000,0.6,,,,,,,,,,,,,,15,25.5,36,5,10.0,15,46,48.5,51,88.4,89.45,90.5,2760.0,10801.0,30.0,0,8.6,34.15,59.7,28.34,28.34,28.35,63.16,0.0,0.04,0.09,0.0,0.1,0.21,12.536,14.012,2.409,2.41,2.409,15.992,0.19,0.14
15,1,,,,,,,8,2,47,92.3,2760,10801,30,0,57.9,28.36,0.0,4.67,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,,,,,,,8,2,47,92.3,2760,10801,30,0,8.1,28.35,0.0,35.64,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,summary,0.328253,0.991933,0.306616,0.995425,0.00100000,0.6,,,,,,,,,,,,,,8,8.0,8,2,2.0,2,47,47.0,47,92.3,92.3,92.3,2760.0,10801.0,30.0,0,8.1,33.0,57.9,28.35,28.36,28.36,63.16,0.0,0.0,0.0,4.67,20.16,35.64,12.536,14.012,2.409,2.41,2.409,15.992,0.19,0.14
16,1,,,,,,,8,2,46,92.2,2760,10801,30,0,56.4,28.36,0.0,0.0,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,,,,,,,71,26,49,87.6,2760,10801,30,0,7.3,28.35,0.35,0.0,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,summary,0.331768,0.991126,0.307036,0.994511,0.00100000,0.6,,,,,,,,,,,,,,8,39.5,71,2,14.0,26,46,47.5,49,87.6,89.9,92.2,2760.0,10801.0,30.0,0,7.3,31.85,56.4,28.35,28.36,28.36,63.16,0.0,0.17,0.35,0.0,0.0,0.0,12.536,14.012,2.409,2.41,2.409,15.992,0.21,0.14
17,1,,,,,,,0,0,46,84.0,2760,10801,30,0,58.6,28.36,0.0,0.0,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,,,,,,,0,0,46,84.0,2760,10801,30,0,9.0,28.35,0.0,38.33,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,summary,0.330080,0.990803,0.306995,0.992681,0.00100000,0.6,,,,,,,,,,,,,,0,0.0,0,0,0.0,0,46,46.0,46,84.0,84.0,84.0,2760.0,10801.0,30.0,0,9.0,33.8,58.6,28.35,28.36,28.36,63.16,0.0,0.0,0.0,0.0,19.16,38.33,12.536,14.012,2.409,2.41,2.409,15.992,0.19,0.13
18,1,,,,,,,39,8,50,96.1,2760,10801,30,0,61.1,28.34,0.0,0.0,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,,,,,39,8,50,96.1,2760,10801,30,0,10.7,28.34,0.0,0.0,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,summary,0.335766,0.988706,0.308594,0.992681,0.00100000,0.6,,,,,,,,,,,,,,39,39.0,39,8,8.0,8,50,50.0,50,96.1,96.1,96.1,2760.0,10801.0,30.0,0,10.7,35.9,61.1,28.34,28.34,28.34,63.16,0.0,0.0,0.0,0.0,0.0,0.0,12.536,14.012,2.409,2.41,2.409,15.992,0.2,0.13
19,1,,,,,,,1,1,47,90.3,2760,10801,30,0,59.6,28.39,0.36,0.02,2.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,,,,,,,39,15,46,88.1,2760,10801,30,0,16.0,28.47,0.0,33.8,2.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,summary,0.327941,0.990803,0.307272,0.993596,0.00100000,0.6,,,,,,,,,,,,,,1,20.0,39,1,8.0,15,46,46.5,47,88.1,89.2,90.3,2760.0,10801.0,30.0,0,16.0,37.8,59.6,28.39,28.43,28.47,63.16,0.0,0.18,0.36,0.02,16.91,33.8,12.536,14.012,2.407,2.41,2.407,15.992,0.21,0.14
20,1,,,,,,,4,2,46,84.4,2760,10801,30,0,66.5,28.36,0.09,0.33,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,4,2,46,84.4,2760,10801,30,0,42.4,28.46,0.0,0.3,2.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,summary,0.331210,0.990158,0.307019,0.993596,0.00100000,0.7,,,,,,,,,,,,,,4,4.0,4,2,2.0,2,46,46.0,46,84.4,84.4,84.4,2760.0,10801.0,30.0,0,42.4,54.45,66.5,28.36,28.41,28.46,63.16,0.0,0.04,0.09,0.3,0.32,0.33,12.536,14.012,2.409,2.41,2.409,15.992,0.2,0.17
21,1,,,,,,,10,3,46,92.7,2760,10801,30,0,65.9,28.37,0.0,0.34,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,,,,,,,70,26,50,92.2,2760,10801,30,0,14.1,28.37,0.0,27.45,2.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,summary,0.324748,0.993224,0.307665,0.992681,0.00100000,0.7,,,,,,,,,,,,,,10,40.0,70,3,14.5,26,46,48.0,50,92.2,92.45,92.7,2760.0,10801.0,30.0,0,14.1,40.0,65.9,28.37,28.37,28.37,63.16,0.0,0.0,0.0,0.34,13.89,27.45,12.536,14.012,2.398,2.4,2.4,15.992,0.2,0.15
22,1,,,,,,,2,1,46,86.0,2760,10801,30,0,62.1,28.37,0.0,0.0,2.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,,,,,,,2,1,46,86.0,2760,10801,30,0,10.3,28.38,0.0,4.37,2.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,summary,0.322274,0.993062,0.308479,0.991766,0.00100000,0.6,,,,,,,,,,,,,,2,2.0,2,1,1.0,1,46,46.0,46,86.0,86.0,86.0,2760.0,10801.0,30.0,0,10.3,36.2,62.1,28.37,28.38,28.38,63.16,0.0,0.0,0.0,0.0,2.19,4.37,12.536,14.012,2.395,2.4,2.395,15.992,0.19,0.15
23,1,,,,,,,45,10,51,94.3,2760,10801,30,0,58.1,28.37,0.0,29.21,2.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,,,,,,,45,10,51,94.3,2760,10801,30,0,12.0,28.36,0.0,0.0,2.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,summary,0.320525,0.993546,0.306886,0.993596,0.00100000,0.6,,,,,,,,,,,,,,45,45.0,45,10,10.0,10,51,51.0,51,94.3,94.3,94.3,2760.0,10801.0,30.0,0,12.0,35.05,58.1,28.36,28.37,28.37,63.16,0.0,0.0,0.0,0.0,14.61,29.21,12.536,14.012,2.393,2.39,2.393,15.992,0.21,0.15
24,1,,,,,,,13,6,48,91.9,2760,10801,30,0,61.4,28.37,0.0,0.0,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,,,,,,,40,14,46,89.5,2760,10801,30,0,14.0,28.36,0.0,0.0,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,summary,0.321009,0.993385,0.307245,0.993596,0.00100000,0.6,,,,,,,,,,,,,,13,26.5,40,6,10.0,14,46,47.0,48,89.5,90.7,91.9,2760.0,10801.0,30.0,0,14.0,37.7,61.4,28.36,28.37,28.37,63.16,0.0,0.0,0.0,0.0,0.0,0.0,12.536,14.012,2.392,2.39,2.392,15.992,0.19,0.15
