epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.909876,0.358158,0.439621,0.964000,0.00029600,87.4,96,97.2,100,70,79.2,85,57,57.8,59,206.6,216.64,222.8,2745.0,10801.0,30.0,0,11.9,17.02,24.6,29.47,29.49,29.51,63.16,0.0,0.24,1.15,0.03,0.52,1.94,10.889,14.15,79.88,6.65
2,0.547377,0.906615,0.304993,0.992222,0.00059200,42.6,95,99.0,100,74,84.2,94,61,62.4,64,216.8,223.56,226.0,2745.0,10801.0,30.4,0,13.3,22.88,33.7,29.5,29.56,29.65,63.16,0.0,0.02,0.07,2.31,4.45,7.16,10.891,14.15,34.42,7.2
3,0.391611,0.962684,0.302122,0.992667,0.00088800,42.1,96,99.0,100,67,73.8,83,63,66.4,68,223.3,226.58,229.0,2739.0,10801.0,32.6,0,12.1,22.82,32.0,29.51,29.59,29.64,63.16,0.0,0.03,0.12,2.1,5.19,8.42,10.893,14.15,34.08,7.11
4,0.367903,0.970412,0.302747,0.993333,0.00099998,41.8,96,98.4,100,68,77.8,86,64,66.4,69,221.7,230.18,233.1,2733.0,10801.0,34.4,0,11.1,21.7,34.7,29.6,29.63,29.67,63.16,0.0,0.09,0.34,2.51,4.32,6.62,10.892,14.152,35.48,5.49
5,0.352928,0.975853,0.297929,0.994778,0.00099983,40.6,96,99.2,100,74,90.8,99,66,67.2,71,231.7,232.6,233.1,2730.0,10801.0,35.6,0,11.4,22.6,32.6,29.54,29.63,29.72,63.16,0.0,0.01,0.02,1.99,3.4,5.61,10.891,14.152,32.46,7.26
6,0.343770,0.978838,0.297532,0.995000,0.00099956,40.8,96,98.6,100,86,90.6,97,67,69.0,72,230.0,230.96,232.1,2730.0,10801.0,36.4,0,12.1,23.08,34.5,29.44,29.59,29.73,63.16,0.0,0.02,0.05,2.12,4.49,6.93,10.89,14.152,33.01,6.97
7,0.339316,0.980253,0.293644,0.996444,0.00099916,42.5,96,99.2,100,67,83.8,96,67,68.8,72,211.1,223.74,231.4,2730.0,10801.0,37.0,0,14.1,22.92,33.1,29.34,29.4,29.49,63.16,0.0,0.01,0.04,2.18,4.25,6.68,10.893,14.152,34.42,7.26
8,0.334093,0.982098,0.293582,0.996556,0.00099864,42.4,97,98.8,100,68,77.0,96,67,69.0,72,213.8,227.82,234.9,2730.0,10801.0,37.0,0,12.7,23.94,33.1,29.31,29.37,29.45,63.16,0.0,0.03,0.1,2.19,4.36,6.66,10.893,14.152,34.73,6.72
9,0.330274,0.983351,0.295176,0.996111,0.00099798,41.7,96,96.0,96,76,85.0,88,67,68.0,69,228.8,230.1,231.3,2730.0,10801.0,37.4,0,14.8,24.42,33.6,29.15,29.21,29.26,63.16,0.0,0.53,2.6,2.61,4.44,6.78,10.892,14.152,33.12,7.59
10,0.328170,0.984034,0.293898,0.997000,0.00099720,40.7,96,97.4,100,74,77.2,84,67,69.8,72,230.6,232.64,234.8,2730.0,10801.0,37.8,0,12.1,24.14,33.9,29.19,29.24,29.28,63.16,0.0,0.01,0.02,1.99,3.78,6.1,10.892,14.152,32.82,7.08
11,0.325470,0.985111,0.291058,0.997333,0.00099630,40.4,97,99.4,100,69,78.2,87,68,69.2,70,232.7,234.82,236.5,2730.0,10801.0,38.0,0,11.3,22.2,33.4,29.17,29.22,29.28,63.16,0.0,0.0,0.01,1.74,3.6,5.8,10.892,14.152,32.32,7.19
12,0.323155,0.985673,0.291921,0.997333,0.00099526,40.6,100,100.0,100,64,79.2,92,68,68.8,69,221.3,229.78,234.3,2730.0,10801.0,38.0,0,11.9,23.84,33.1,29.17,29.19,29.24,63.16,0.0,0.03,0.14,2.27,4.6,8.13,10.89,14.152,32.67,7.06
13,0.322539,0.986069,0.290859,0.997778,0.00099410,40.6,95,97.4,100,66,78.6,90,70,71.0,72,231.7,233.02,234.7,2730.0,10801.0,38.0,0,11.2,22.18,32.8,29.13,29.19,29.25,63.16,0.0,0.02,0.06,2.06,3.8,6.11,10.893,14.152,32.18,7.51
14,0.320398,0.986604,0.290479,0.997778,0.00099282,40.5,97,98.6,100,74,82.8,96,69,69.4,71,230.3,233.44,236.1,2730.0,10801.0,38.2,0,11.5,22.72,35.3,29.08,29.16,29.27,63.16,0.0,0.01,0.03,2.53,4.4,7.22,10.893,14.152,32.55,7.08
