epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.079482,0.384054,1.019234,0.509005,0.00372000,71.3,98,99.6,100,52,74.6,83,52,55.4,59,195.0,201.32,204.6,2748.0,10801.0,30.0,0,5.5,27.46,53.5,33.04,33.48,33.73,63.16,0.01,0.23,0.83,0.06,0.19,0.38,8.901,14.49,45.38,21.73
2,0.977052,0.514267,1.024052,0.484319,0.00399914,27.9,97,99.0,100,48,72.0,83,54,56.4,59,200.1,203.84,208.1,2745.0,10801.0,30.0,0,5.1,33.3,53.8,38.63,38.75,38.87,63.16,0.0,0.09,0.36,0.02,0.27,0.85,8.901,19.928,2.92,21.4
3,0.907307,0.577427,0.838743,0.609857,0.00399627,27.6,97,99.0,100,47,62.8,85,56,58.8,61,203.4,205.68,209.3,2745.0,10801.0,30.0,0,5.6,31.82,47.8,38.66,38.77,38.93,63.16,0.01,0.3,1.16,0.07,0.59,1.95,8.901,19.928,2.66,21.38
4,0.868901,0.607359,0.854618,0.609095,0.00399138,27.8,97,99.4,100,47,67.6,80,57,59.8,61,205.9,207.3,210.5,2745.0,10801.0,30.0,0,5.0,35.5,61.5,38.53,38.73,39.25,63.16,0.0,8.59,42.82,0.03,0.13,0.2,8.901,19.928,2.77,21.45
5,0.843662,0.626878,0.669502,0.742204,0.00398449,27.6,97,99.0,100,51,68.8,87,59,61.2,62,204.7,206.24,209.5,2745.0,10801.0,30.0,0,6.7,32.8,50.6,38.48,38.71,39.29,63.16,0.0,0.02,0.02,0.04,0.09,0.22,8.901,19.928,2.53,21.4
6,0.821008,0.644252,0.667280,0.752195,0.00397559,28.0,60,91.0,100,24,58.4,85,62,62.6,63,200.6,205.48,208.1,2742.0,10801.0,30.2,0,5.3,31.66,47.6,38.21,38.47,38.62,63.16,0.01,0.02,0.05,0.05,0.12,0.26,8.901,19.928,3.03,21.4
7,0.794559,0.661919,0.728947,0.686335,0.00396471,27.8,97,98.4,100,43,66.0,85,60,62.0,64,203.7,207.3,209.9,2745.0,10801.0,31.0,0,5.4,31.38,47.3,38.25,38.5,38.62,63.16,0.0,0.03,0.05,0.02,0.14,0.34,8.901,19.928,2.82,21.43
8,0.775351,0.674792,0.666468,0.746640,0.00395184,28.1,89,96.8,100,47,67.8,84,61,63.0,64,204.5,207.38,210.3,2739.0,10801.0,31.2,0,6.1,30.74,45.9,38.22,38.46,38.6,63.16,0.0,0.01,0.03,0.02,0.08,0.2,8.901,19.928,3.02,21.47
9,0.760846,0.684854,0.622051,0.773073,0.00393700,27.7,96,98.2,100,46,65.0,84,63,64.8,68,206.2,208.46,213.3,2739.0,10801.0,32.0,0,5.3,31.5,46.1,38.26,38.47,38.6,63.16,0.0,0.03,0.06,0.01,0.47,1.11,8.901,19.928,2.77,21.38
10,0.746914,0.693641,0.560638,0.814919,0.00392021,27.5,96,99.0,100,57,73.6,86,60,64.4,66,205.7,208.94,210.4,2742.0,10801.0,32.0,0,5.5,31.28,47.2,38.47,38.58,38.83,63.16,0.0,0.01,0.03,0.0,0.11,0.26,8.901,19.928,2.57,21.37
