epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
8,2,,,,,,,61,16,43,30.9,675,5001,30,0,16.1,29.86,0.0,0.0,1.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,summary,0.675484,0.734714,0.624767,0.786651,0.00399680,3.5,,,,,,,,,,,,,,3,32.0,61,2,9.0,16,43,43.0,43,30.9,31.9,32.9,735.0,5001.0,30.0,0,16.1,37.55,59.0,29.86,29.86,29.86,63.16,0.0,0.01,0.01,0.0,1.09,2.18,8.281,13.705,1.762,1.77,1.783,15.992,2.22,0.31
9,1,,,,,,,0,1,44,47.7,2565,10801,30,0,57.4,29.86,0.0,2.69,1.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,,,,,,,0,1,44,47.7,2565,10801,30,0,8.2,29.86,0.0,1.44,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,summary,0.613741,0.766645,0.780428,0.666829,0.00399190,2.9,,,,,,,,,,,,,,0,0.0,0,1,1.0,1,44,44.0,44,47.7,47.7,47.7,2565.0,10801.0,30.0,0,8.2,32.8,57.4,29.86,29.86,29.86,63.16,0.0,0.0,0.0,1.44,2.06,2.69,8.281,13.705,1.78,1.78,1.789,15.992,1.94,0.13
10,1,,,,,,,0,1,43,48.4,540,5001,30,0,57.6,29.88,0.04,0.51,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,,,,,,,27,6,43,35.0,435,5001,30,0,13.4,29.87,0.2,11.32,1.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,summary,0.570267,0.790690,0.486567,0.862416,0.00398475,3.0,,,,,,,,,,,,,,0,13.5,27,1,3.5,6,43,43.0,43,35.0,41.7,48.4,487.5,5001.0,30.0,0,13.4,35.5,57.6,29.87,29.88,29.88,63.16,0.04,0.12,0.2,0.51,5.92,11.32,8.281,13.705,1.778,1.78,1.78,15.992,1.81,0.28
11,1,,,,,,,0,1,43,37.7,600,5001,30,0,57.3,29.81,0.0,0.79,1.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,,,,,,,24,6,43,28.7,480,5001,30,0,10.6,29.82,0.0,0.0,1.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,summary,0.535341,0.812300,0.560796,0.810518,0.00397538,3.0,,,,,,,,,,,,,,0,12.0,24,1,3.5,6,43,43.0,43,28.7,33.2,37.7,540.0,5001.0,30.0,0,10.6,33.95,57.3,29.81,29.81,29.82,63.16,0.0,0.0,0.0,0.0,0.4,0.79,8.281,13.705,1.777,1.78,1.787,15.992,1.86,0.33
12,1,,,,,,,1,3,42,23.8,255,810,30,0,56.3,29.83,0.03,0.62,1.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,,,,,,,83,32,44,31.3,2565,10801,30,0,16.3,29.83,0.0,0.0,1.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
