epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,3.177877,0.111992,3.264582,0.059821,0.00146667,55.1,93,98.0,100,50,70.4,89,58,59.4,62,200.8,233.86,244.9,2745.0,10801.0,30.0,0,5.0,7.46,11.5,27.27,27.29,27.3,63.16,0.0,0.0,0.01,0.0,0.04,0.07,8.361,14.164,45.47,6.66
2,2.914683,0.354118,2.618489,0.618178,0.00293333,12.4,100,100.0,100,54,66.0,82,61,62.2,63,171.4,231.72,248.6,2742.0,10801.0,30.0,0,6.2,15.56,41.6,30.1,30.11,30.12,63.16,0.0,0.01,0.03,1.86,2.52,3.04,8.361,17.383,3.16,6.49
3,2.122394,0.636345,1.124753,0.856852,0.00440000,12.2,97,99.4,100,62,73.6,83,59,61.8,64,188.3,233.3,247.6,2739.0,10801.0,30.0,0,7.3,17.38,44.2,30.1,30.11,30.12,63.16,0.0,0.0,0.0,1.99,2.59,3.16,8.361,17.383,3.0,6.48
4,1.061791,0.832966,0.588819,0.929199,0.00586667,12.2,93,98.0,100,58,66.0,77,60,62.2,63,149.4,226.64,249.9,2745.0,10801.0,30.0,0,5.4,15.14,42.3,30.1,30.11,30.12,63.16,0.0,0.0,0.0,2.07,2.56,3.09,8.361,17.383,2.99,6.45
5,0.645167,0.911826,0.560033,0.937698,0.00733333,12.2,100,100.0,100,52,57.6,68,61,64.2,67,116.6,217.82,244.9,2745.0,10801.0,30.0,0,5.0,14.92,42.4,30.13,30.14,30.16,63.16,0.0,0.0,0.02,2.09,3.05,5.52,8.361,17.383,3.02,6.44
6,0.582512,0.930190,0.515932,0.951525,0.00880000,12.1,96,99.2,100,56,65.4,77,63,65.2,67,165.5,230.28,251.0,2742.0,10801.0,31.0,0,5.0,14.58,42.5,30.12,30.13,30.14,63.16,0.0,0.0,0.0,1.99,2.54,3.19,8.361,17.383,2.99,6.42
7,0.542825,0.939734,0.480747,0.958723,0.01026667,12.3,97,99.4,100,71,78.8,88,61,64.4,68,186.5,235.62,250.8,2739.0,10801.0,31.0,0,5.0,14.56,41.7,30.13,30.13,30.14,63.16,0.0,0.01,0.04,2.38,4.52,10.42,8.361,17.383,3.13,6.44
8,0.515263,0.944944,0.504812,0.953802,0.01173333,12.2,93,95.4,97,69,74.6,80,58,63.4,66,144.9,225.28,250.3,2745.0,10801.0,31.2,0,4.7,14.5,42.0,30.11,30.13,30.15,63.16,0.0,0.01,0.03,1.99,2.59,3.13,8.361,17.383,3.06,6.41
9,0.503504,0.948159,0.484491,0.958113,0.01320000,12.3,100,100.0,100,49,53.6,62,63,65.2,68,180.9,233.56,251.3,2745.0,10801.0,31.4,0,5.4,14.46,41.7,30.09,30.1,30.1,63.16,0.0,0.0,0.0,1.32,1.62,2.05,8.361,17.383,3.15,6.46
10,0.493347,0.950441,0.468464,0.960878,0.01466667,12.2,100,100.0,100,51,66.6,78,63,64.4,66,123.6,222.34,251.7,2739.0,10801.0,32.2,0,6.8,16.2,43.2,30.08,30.09,30.1,63.16,0.0,0.0,0.0,1.32,1.5,1.65,8.361,17.383,3.11,6.39
